id,country,sector,sector_base_prob,country_multiplier,tariff_risk_prob,tariff_risk_pct
212,ECUADOR,Automotive,0.262,1,0.262,26.20%
213,ECUADOR,Energy,0.3861,1,0.3861,38.60%
214,ECUADOR,Lumber,0.3205,1,0.3205,32.00%
215,ECUADOR,Maritime,0.2481,1,0.2481,24.80%
216,ECUADOR,Metals,0.3206,1,0.3206,32.10%
217,ECUADOR,Minerals,0.3199,1,0.3199,32.00%
218,ECUADOR,Pharmaceutical,0.3201,1,0.3201,32.00%
219,ECUADOR,Semiconductor,0.3201,1,0.3201,32.00%
220,ECUADOR,Steel & Aluminum,0.3208,1,0.3208,32.10%
221,EQUATORIAL GUINEA,Aerospace,0.2174,1,0.2174,21.70%
222,EQUATORIAL GUINEA,Agriculture,0.5263,1,0.5263,52.60%
223,EQUATORIAL GUINEA,Automotive,0.262,1,0.262,26.20%
224,EQUATORIAL GUINEA,Energy,0.3861,1,0.3861,38.60%
225,EQUATORIAL GUINEA,Lumber,0.3205,1,0.3205,32.00%
226,EQUATORIAL GUINEA,Maritime,0.2481,1,0.2481,24.80%
227,EQUATORIAL GUINEA,Metals,0.3206,1,0.3206,32.10%
228,EQUATORIAL GUINEA,Minerals,0.3199,1,0.3199,32.00%
229,EQUATORIAL GUINEA,Pharmaceutical,0.3201,1,0.3201,32.00%
230,EQUATORIAL GUINEA,Semiconductor,0.3201,1,0.3201,32.00%
231,EQUATORIAL GUINEA,Steel & Aluminum,0.3208,1,0.3208,32.10%
232,EU,Aerospace,0.2174,1.544,0.335666,33.60%
233,EU,Agriculture,0.5263,1.544,0.812607,81.30%
234,EU,Automotive,0.262,1.544,0.404528,40.50%
235,EU,Energy,0.3861,1.544,0.596138,59.60%
236,EU,Lumber,0.3205,1.544,0.494852,49.50%
237,EU,Maritime,0.2481,1.544,0.383066,38.30%
238,EU,Metals,0.3206,1.544,0.495006,49.50%
239,EU,Minerals,0.3199,1.544,0.493926,49.40%
240,EU,Pharmaceutical,0.3201,1.544,0.494234,49.40%
241,EU,Semiconductor,0.3201,1.544,0.494234,49.40%
242,EU,Steel & Aluminum,0.3208,1.544,0.495315,49.50%
243,FALKLAND ISLANDS,Aerospace,0.2174,1,0.2174,21.70%
244,FALKLAND ISLANDS,Agriculture,0.5263,1,0.5263,52.60%
