country_iso3,month_start,manufacturing_strength,imports,exports,trade_deficit,trade_deficit_3m_mean,trade_deficit_3m_change,fx_to_usd,fx_to_usd_3m_mean,fx_to_usd_3m_std,GSCPI,gscpi_3m_mean,unemployment_rate,unemployment_3m_mean,political_risk_score,tariff_event_count
ARG,2025-11-01,-1.4914936072928764,860.035429,756.710449,103.32497999999998,12.302888666666718,188.82680900000005,0.0006910850034554,0.0007040989218826,1.6249366928469193e-05,-0.16,-0.0866666666666663,4.5,4.45,,0
ARG,2025-12-01,-1.5123288938811017,829.175621,803.308471,25.867149999999924,52.94213100000002,121.9177269999999,0.0006894174422612,0.000691568615771,1.9835594846861864e-06,0.54,0.1000000000000003,4.4,4.45,,0
ARG,2026-01-01,-1.5123288938811017,,,,,,0.0006932409012131,0.0006912477823098,1.5651586300498798e-06,0.41,0.2633333333333336,4.3,4.4,,0
ARG,2026-02-01,-1.5123288938811017,,,,,,,,,,,,,,0
ARG,2026-03-01,-1.5123288938811017,,,,,,,,,,,,,,0
ARG,2026-04-01,-1.5123288938811017,,,,,,,,,,,,,,0
ARG,2026-05-01,-1.5123288938811017,,,,,,,,,,,,,,0
ARG,2026-06-01,-1.5123288938811017,,,,,,,,,,,,,,0
ARG,2026-07-01,-1.5123288938811017,,,,,,,,,,,,,,0
ARG,2026-08-01,-1.5123288938811017,,,,,,,,,,,,,,0
ARG,2026-09-01,-1.5123288938811017,,,,,,,,,,,,,,0
ARG,2026-10-01,-1.5123288938811017,,,,,,,,,,,,,,0
ARG,2026-11-01,-1.5123288938811017,,,,,,,,,,,,,,0
AUS,2024-11-01,,1356.000769,3246.712973,-1890.712204,-1427.9228653333332,69.65516600000001,,,,-0.28,-0.173333333333333,4.2,4.133333333333334,,0
AUS,2024-12-01,,2345.962458,2698.164607,-352.2021490000002,-1046.405716,1144.5514479999997,,,,-0.26,-0.2966666666666663,4.1,4.133333333333334,,0
AUS,2025-01-01,-0.0853698303413021,4579.857557,2390.194041,2189.663516,-17.750279000000017,3085.966311,0.6225000000000018,0.6225000000000018,,-0.18,-0.2399999999999996,4.0,4.1000000000000005,,0
AUS,2025-02-01,-0.2287567932201552,3802.81408,2429.319541,1373.4945390000005,1070.3186353333333,3264.2067430000006,0.6214,0.6219500000000009,0.0005500000000009,0.0,-0.1466666666666663,4.2,4.1000000000000005,,0
AUS,2025-03-01,-0.0444428998911216,3888.667229,2947.061187,941.6060420000003,1501.5880323333338,1293.8081910000003,0.6279999999999997,0.6239666666666671,0.0028871362204705,-0.18,-0.1199999999999997,4.2,4.133333333333334,,0
AUS,2025-04-01,-0.1023801278791094,1713.078334,2909.136126,-1196.0577919999998,373.01426300000026,-3385.721308,0.6416000000000002,0.6303333333333333,0.0084100469017057,-0.24,-0.1399999999999997,4.2,4.2,,0
AUS,2025-05-01,0.0599220996291988,1400.050003,2921.244684,-1521.1946809999995,-591.8821436666664,-2894.68922,0.6435999999999985,0.6377333333333328,0.0069307687564621,0.28,-0.0466666666666663,4.3,4.233333333333333,,0
AUS,2025-06-01,0.1472731740351393,1379.01726,3075.187924,-1696.1706639999998,-1471.1410456666663,-2637.776706,0.6549999999999992,0.6467333333333326,0.005902165327704,0.09,0.0433333333333336,4.1,4.2,,0
AUS,2025-07-01,0.0857182932541017,3219.660447,2672.108312,547.5521350000004,-889.9377366666664,1743.6099270000002,0.6469000000000016,0.6484999999999997,0.004789572005931,0.03,0.1333333333333336,4.3,4.233333333333333,,0
AUS,2025-08-01,0.0124238087310965,1268.099638,2904.406975,-1636.307337,-928.308622,-115.11265600000024,0.6537999999999989,0.6518999999999999,0.0035693136595134,-0.08,0.0133333333333336,4.3,4.233333333333333,,1
AUS,2025-09-01,0.1541283394664334,2267.610492,2804.225558,-536.6150660000003,-541.7900893333333,1159.5555979999997,0.6602000000000017,0.6536333333333341,0.0054309810859137,-0.02,-0.023333333333333,4.4,4.333333333333333,,0
AUS,2025-10-01,0.284606430967025,1866.134656,3509.940735,-1643.8060790000002,-1272.2428273333337,-2191.3582140000008,0.655100000000001,0.6563666666666672,0.0027620443314491,-0.08,-0.0599999999999997,,4.35,,0
AUS,2025-11-01,0.1378142516052764,1324.485274,2475.101143,-1150.615869,-1110.3456713333337,485.691468,0.6532999999999983,0.6562000000000004,0.002922327839241,-0.16,-0.0866666666666663,4.5,4.45,,0
AUS,2025-12-01,0.1378142516052764,2408.006483,2659.186384,-251.179901,-1015.2006163333334,285.4351650000003,0.669299999999999,0.6592333333333328,0.0071560386310361,0.54,0.1000000000000003,4.4,4.45,,0
AUS,2026-01-01,0.1378142516052764,,,,,,0.7003999999999981,0.6743333333333318,0.0195551073180948,0.41,0.2633333333333336,4.3,4.4,,0
AUS,2026-02-01,0.1378142516052764,,,,,,,,,,,,,,0
AUS,2026-03-01,0.1378142516052764,,,,,,,,,,,,,,0
AUS,2026-04-01,0.1378142516052764,,,,,,,,,,,,,,0
AUS,2026-05-01,0.1378142516052764,,,,,,,,,,,,,,0
AUS,2026-06-01,0.1378142516052764,,,,,,,,,,,,,,0
AUS,2026-07-01,0.1378142516052764,,,,,,,,,,,,,,0
AUS,2026-08-01,0.1378142516052764,,,,,,,,,,,,,,0
AUS,2026-09-01,0.1378142516052764,,,,,,,,,,,,,,0
AUS,2026-10-01,0.1378142516052764,,,,,,,,,,,,,,0
AUS,2026-11-01,0.1378142516052764,,,,,,,,,,,,,,0
BGD,2024-11-01,,713.268305,310.732896,402.5354090000001,531.1643913333334,-104.17904299999998,,,,-0.28,-0.173333333333333,4.2,4.133333333333334,,0
BGD,2024-12-01,,655.207851,182.632024,472.575827,484.32432833333337,-140.52018899999996,,,,-0.26,-0.2966666666666663,4.1,4.133333333333334,,0
BGD,2025-01-01,,904.265282,203.409402,700.85588,525.322372,122.99413099999992,0.0082017010935601,0.0082017010935601,,-0.18,-0.2399999999999996,4.0,4.1000000000000005,,0
BGD,2025-02-01,,789.028338,87.009991,702.018347,625.1500179999999,299.4829379999999,0.0081967213114754,0.0081992112025177,2.4898910423501973e-06,0.0,-0.1466666666666663,4.2,4.1000000000000005,,0
BGD,2025-03-01,,829.37368,136.950687,692.422993,698.4324066666667,219.847166,0.0081967213114754,0.0081983812388369,2.3474917872820564e-06,-0.18,-0.1199999999999997,4.2,4.133333333333334,,0
BGD,2025-04-01,,886.013236,260.099005,625.914231,673.451857,-74.94164899999998,0.0081967213114754,0.0081967213114754,0.0,-0.24,-0.1399999999999997,4.2,4.2,,0
BGD,2025-05-01,,633.474007,218.321768,415.152239,577.8298209999999,-286.86610799999994,0.0081366965012205,0.0081767130413904,2.829596691378493e-05,0.28,-0.0466666666666663,4.3,4.233333333333333,,0
BGD,2025-06-01,,835.565826,170.011143,665.5546830000001,568.8737176666667,-26.86830999999995,0.0081449806556709,0.0081594661561222,2.655957773295457e-05,0.09,0.0433333333333336,4.1,4.2,,0
BGD,2025-07-01,,832.257662,171.143745,661.113917,580.6069463333334,35.19968600000004,0.0081556090201035,0.0081457620589983,7.740748714660253e-06,0.03,0.1333333333333336,4.3,4.233333333333333,,0
BGD,2025-08-01,,749.90385,167.964737,581.939113,636.2025709999999,166.786874,0.0082209799408089,0.0081738565388611,3.3602597032357866e-05,-0.08,0.0133333333333336,4.3,4.233333333333333,,1
BGD,2025-09-01,,908.271811,237.342165,670.9296459999999,637.9942253333334,5.374962999999866,0.0082101806239737,0.0081955898616287,2.8612434101559695e-05,-0.02,-0.023333333333333,4.4,4.333333333333333,,0
BGD,2025-10-01,,764.225792,306.156762,458.06903,570.3125963333333,-203.04488700000007,0.0081772835064191,0.0082028146904005,1.858381603525675e-05,-0.08,-0.0599999999999997,,4.35,,0
BGD,2025-11-01,,629.695394,246.301716,383.393678,504.13078466666656,-198.54543500000003,0.0081792900376247,0.0081889180560058,1.505720512602869e-05,-0.16,-0.0866666666666663,4.5,4.45,,0
BGD,2025-12-01,,711.826948,123.158238,588.66871,476.71047266666665,-82.2609359999999,0.0081749437972613,0.0081771724471017,1.7760821965304896e-06,0.54,0.1000000000000003,4.4,4.45,,0
BGD,2026-01-01,,,,,,,0.008173273395995,0.008175835743627,2.5359640329570413e-06,0.41,0.2633333333333336,4.3,4.4,,0
BGD,2026-02-01,,,,,,,,,,,,,,,0
BGD,2026-03-01,,,,,,,,,,,,,,,0
BGD,2026-04-01,,,,,,,,,,,,,,,0
BGD,2026-05-01,,,,,,,,,,,,,,,0
BGD,2026-06-01,,,,,,,,,,,,,,,0
BGD,2026-07-01,,,,,,,,,,,,,,,0
BGD,2026-08-01,,,,,,,,,,,,,,,0
BGD,2026-09-01,,,,,,,,,,,,,,,0
BGD,2026-10-01,,,,,,,,,,,,,,,0
BGD,2026-11-01,,,,,,,,,,,,,,,0
BIH,2024-11-01,,15.965691,2.700992,13.264699,10.677524333333333,-0.767612999999999,,,,-0.28,-0.173333333333333,4.2,4.133333333333334,,0
BIH,2024-12-01,,12.875997,2.406557,10.46944,11.021352666666669,1.0314850000000018,,,,-0.26,-0.2966666666666663,4.1,4.133333333333334,,0
BIH,2025-01-01,-1.9172063114634683,10.709451,2.277833,8.431618,10.721919,-0.898301,0.5318970694067167,0.5318970694067167,,-0.18,-0.2399999999999996,4.0,4.1000000000000005,,0
BIH,2025-02-01,-1.903224470786252,10.574939,1.219384,9.355555,9.418871,-3.909144,0.535680614361383,0.5337888418840498,0.0018917724773331,0.0,-0.1466666666666663,4.2,4.1000000000000005,,0
BIH,2025-03-01,-1.894022983145324,11.121878,2.490243,8.631635000000001,8.806269333333335,-1.8378049999999997,0.5520418094384796,0.5398731644021931,0.0087420723942838,-0.18,-0.1199999999999997,4.2,4.133333333333334,,0
BIH,2025-04-01,-1.892074853987065,13.589421,2.263276,11.326145,9.771111666666668,2.894527,0.5814967726929116,0.5564063988309247,0.0189572733884808,-0.24,-0.1399999999999997,4.2,4.2,,0
BIH,2025-05-01,-1.8936676981386136,12.28475,1.648215,10.636535,10.198105,1.2809799999999996,0.5768010613139528,0.5701132144817813,0.0129214082441485,0.28,-0.0466666666666663,4.3,4.233333333333333,,0
BIH,2025-06-01,-1.894745085240665,13.359328,1.426223,11.933105,11.298595,3.3014699999999984,0.5984082340973012,0.5855686893680552,0.0092791112354346,0.09,0.0433333333333336,4.1,4.2,,0
BIH,2025-07-01,-1.8846100687886829,18.265103,1.108308,17.156795,13.242145,5.830649999999999,0.5893793835091647,0.5881962263068062,0.0088606762212406,0.03,0.1333333333333336,4.3,4.233333333333333,,0
BIH,2025-08-01,-1.902171517282718,14.093098,1.786656,12.306442,13.798780666666666,1.6699069999999985,0.5969792848188168,0.5949223008084276,0.0039626105158066,-0.08,0.0133333333333336,4.3,4.233333333333333,,1
BIH,2025-09-01,-1.8867623868130188,23.412483,1.47753,21.934953,17.13273,10.001848,0.5993766482857829,0.5952451055379214,0.0042616005668581,-0.02,-0.023333333333333,4.4,4.333333333333333,,0
BIH,2025-10-01,-1.881670499712188,12.78284,2.256559,10.526281,14.922558666666664,-6.630513999999998,,0.5981779665522998,0.0011986817334833,-0.08,-0.0599999999999997,,4.35,,0
BIH,2025-11-01,-1.8937866793369624,7.7738,1.465654,6.308146,12.923126666666668,-5.998295999999999,,0.5993766482857829,,-0.16,-0.0866666666666663,4.5,4.45,,0
BIH,2025-12-01,-1.889867046901503,9.974986,9.820849,0.1541369999999986,5.662854666666667,-21.780816,,,,0.54,0.1000000000000003,4.4,4.45,,0
BIH,2026-01-01,-1.889867046901503,,,,,,,,,0.41,0.2633333333333336,4.3,4.4,,0
BIH,2026-02-01,-1.889867046901503,,,,,,,,,,,,,,0
BIH,2026-03-01,-1.889867046901503,,,,,,,,,,,,,,0
BIH,2026-04-01,-1.889867046901503,,,,,,,,,,,,,,0
BIH,2026-05-01,-1.889867046901503,,,,,,,,,,,,,,0
BIH,2026-06-01,-1.889867046901503,,,,,,,,,,,,,,0
BIH,2026-07-01,-1.889867046901503,,,,,,,,,,,,,,0
BIH,2026-08-01,-1.889867046901503,,,,,,,,,,,,,,0
BIH,2026-09-01,-1.889867046901503,,,,,,,,,,,,,,0
BIH,2026-10-01,-1.889867046901503,,,,,,,,,,,,,,0
BIH,2026-11-01,-1.889867046901503,,,,,,,,,,,,,,0
BOL,2024-11-01,,46.150243,59.845414,-13.695170999999997,2.1905669999999966,-43.88063199999999,,,,-0.28,-0.173333333333333,4.2,4.133333333333334,,0
BOL,2024-12-01,,40.599652,25.257812,15.341839999999998,10.011422666666665,23.462567,,,,-0.26,-0.2966666666666663,4.1,4.133333333333334,,0
BOL,2025-01-01,-1.456386729133279,42.828582,28.882034,13.946547999999996,5.197738999999995,-14.441051000000003,0.1447178002894356,0.1447178002894356,,-0.18,-0.2399999999999996,4.0,4.1000000000000005,,0
BOL,2025-02-01,-1.4559386731255348,52.848596,29.868992,22.979604,17.422663999999994,36.674775,0.1447178002894356,0.1447178002894356,0.0,0.0,-0.1466666666666663,4.2,4.1000000000000005,,0
BOL,2025-03-01,-1.4641841601477588,42.609606,24.337117,18.272489,18.399546999999995,2.9306490000000025,0.1447178002894356,0.1447178002894356,0.0,-0.18,-0.1199999999999997,4.2,4.133333333333334,,0
BOL,2025-04-01,-1.4461571583763784,29.840039,30.863142,-1.023102999999999,13.409663333333333,-14.969650999999995,0.1447178002894356,0.1447178002894356,0.0,-0.24,-0.1399999999999997,4.2,4.2,,0
BOL,2025-05-01,-1.453016395004222,56.346462,31.285697,25.060765000000004,14.103383666666664,2.0811610000000016,0.1447178002894356,0.1447178002894356,0.0,0.28,-0.0466666666666663,4.3,4.233333333333333,,0
BOL,2025-06-01,-1.4553644968758523,57.950657,25.348539,32.602118000000004,18.879926666666663,14.329629000000004,0.1447178002894356,0.1447178002894356,0.0,0.09,0.0433333333333336,4.1,4.2,,0
BOL,2025-07-01,-1.4494166141708509,64.292082,34.198901,30.093180999999998,29.252021333333328,31.116283999999997,0.1447178002894356,0.1447178002894356,0.0,0.03,0.1333333333333336,4.3,4.233333333333333,,0
BOL,2025-08-01,-1.4422344319302278,61.1233,28.593779,32.529521,31.741606666666662,7.468755999999999,0.1447178002894356,0.1447178002894356,0.0,-0.08,0.0133333333333336,4.3,4.233333333333333,,1
BOL,2025-09-01,-1.451146336053899,63.214268,24.55824,38.65602799999999,33.75957666666665,6.053909999999988,0.1447178002894356,0.1447178002894356,0.0,-0.02,-0.023333333333333,4.4,4.333333333333333,,0
BOL,2025-10-01,-1.4394820207692882,36.874137,27.586165,9.287971999999996,26.824506999999997,-20.805209,0.1447178002894356,0.1447178002894356,0.0,-0.08,-0.0599999999999997,,4.35,,0
BOL,2025-11-01,-1.4404062070093628,71.275543,29.10058,42.174963,30.039654333333328,9.645441999999996,0.1447178002894356,0.1447178002894356,0.0,-0.16,-0.0866666666666663,4.5,4.45,,0
BOL,2025-12-01,-1.4446231584403342,39.578089,33.865409,5.712679999999999,19.058538333333328,-32.94334799999999,0.1447178002894356,0.1447178002894356,0.0,0.54,0.1000000000000003,4.4,4.45,,0
BOL,2026-01-01,-1.4446231584403342,,,,,,,0.1447178002894356,0.0,0.41,0.2633333333333336,4.3,4.4,,0
BOL,2026-02-01,-1.4446231584403342,,,,,,,,,,,,,,0
BOL,2026-03-01,-1.4446231584403342,,,,,,,,,,,,,,0
BOL,2026-04-01,-1.4446231584403342,,,,,,,,,,,,,,0
BOL,2026-05-01,-1.4446231584403342,,,,,,,,,,,,,,0
BOL,2026-06-01,-1.4446231584403342,,,,,,,,,,,,,,0
BOL,2026-07-01,-1.4446231584403342,,,,,,,,,,,,,,0
BOL,2026-08-01,-1.4446231584403342,,,,,,,,,,,,,,0
BOL,2026-09-01,-1.4446231584403342,,,,,,,,,,,,,,0
BOL,2026-10-01,-1.4446231584403342,,,,,,,,,,,,,,0
BOL,2026-11-01,-1.4446231584403342,,,,,,,,,,,,,,0
BRA,2024-11-01,,3978.757552,4167.76371,-189.0061580000001,-647.6544220000001,634.196093,,,,-0.28,-0.173333333333333,4.2,4.133333333333334,,0
BRA,2024-12-01,,3810.755873,4316.978194,-506.2223210000002,-434.6126896666668,639.1251969999998,,,,-0.26,-0.2966666666666663,4.1,4.133333333333334,,0
BRA,2025-01-01,-0.0653699203290956,3770.69249,3855.695908,-85.00341800000024,-260.0772990000002,523.6061719999998,0.1715412985676302,0.1715412985676302,,-0.18,-0.2399999999999996,4.0,4.1000000000000005,,0
BRA,2025-02-01,-0.127674388773678,3344.528014,4073.114916,-728.586902,-439.93754700000017,-539.5807439999999,0.1709927841045108,0.1712670413360705,0.0002742572315597,0.0,-0.1466666666666663,4.2,4.1000000000000005,,0
BRA,2025-03-01,-0.0746411761970099,3898.077228,4654.122806,-756.0455780000002,-523.2119660000002,-249.823257,0.1741674794482374,0.1722338540401261,0.0013854956858426,-0.18,-0.1199999999999997,4.2,4.133333333333334,,0
BRA,2025-04-01,-0.000363449449815,3184.151304,4254.635503,-1070.4841990000004,-851.7055596666669,-985.4807810000002,0.1766722023956751,0.173944155316141,0.0023239841196366,-0.24,-0.1399999999999997,4.2,4.2,,0
BRA,2025-05-01,0.0555021422685789,4224.143105,4811.279101,-587.135996,-804.5552576666669,141.45090600000003,0.1751896427883184,0.1753431082107436,0.0010282908109302,0.28,-0.0466666666666663,4.3,4.233333333333333,,0
BRA,2025-06-01,0.0641797604904751,3589.748325,4906.291918,-1316.543593,-991.3879293333334,-560.4980149999997,0.1832676624209658,0.1783765025349864,0.0035111327251094,0.09,0.0433333333333336,4.1,4.2,,0
BRA,2025-07-01,0.2616617055041703,4032.157017,4381.883695,-349.72667800000045,-751.1354223333334,720.757521,0.1785236097473891,0.1789936383188911,0.0033145432505731,0.03,0.1333333333333336,4.3,4.233333333333333,,1
BRA,2025-08-01,0.0821881210626581,3063.242275,4744.805354,-1681.563079,-1115.9444500000002,-1094.427083,0.184304618673744,0.1820319636140329,0.0025166419037731,-0.08,0.0133333333333336,4.3,4.233333333333333,,2
BRA,2025-09-01,0.3091611916198269,2899.295422,4299.87613,-1400.5807079999995,-1143.9568216666669,-84.03711499999963,0.188040616773223,0.1836229483981186,0.003915087181315,-0.02,-0.023333333333333,4.4,4.333333333333333,,0
BRA,2025-10-01,0.2197233147799193,2743.679946,5304.86024,-2561.180294,-1881.1080269999995,-2211.453616,0.1857458625109126,0.1860303659859598,0.0015384249781975,-0.08,-0.0599999999999997,,4.35,,0
BRA,2025-11-01,0.0002227152460773,2208.554198,4306.297106,-2097.742908,-2019.8346366666665,-416.17982900000015,0.1875046876171904,0.1870970556337753,0.0009801690862721,-0.16,-0.0866666666666663,4.5,4.45,,1
