date,WY_baseline,WY_impacted,PCH_baseline,PCH_impacted,IP_baseline,IP_impacted,PKG_baseline,PKG_impacted,SLVM_baseline,SLVM_impacted,BCC_baseline,BCC_impacted,LPX_baseline,LPX_impacted,UFP_baseline,UFP_impacted,BECN_baseline,BECN_impacted,IBP_baseline,IBP_impacted,BLDR_baseline,BLDR_impacted,MAS_baseline,MAS_impacted,TREX_baseline,TREX_impacted,AZEK_baseline,AZEK_impacted,DOOR_baseline,DOOR_impacted,PGTI_baseline,PGTI_impacted,ROCK_baseline,ROCK_impacted,UFPI_baseline,UFPI_impacted,CLW_baseline,CLW_impacted,PCA_baseline,PCA_impacted
2026-03-13,25.1499,13.6372,41.9242,22.7329,46.572,25.2531,237.7368,128.9101,47.6382,25.8313,80.5078,43.6544,80.138,43.4539,100.439,54.4619,100.439,54.4619,334.8198,181.5523,108.7242,58.9545,75.1842,40.7678,40.6933,22.0655,100.439,54.4619,100.439,54.4619,100.439,54.4619,52.458,28.4448,109.6115,59.4356,14.801,8.0257,100.439,54.4619
2026-03-14,25.1434,13.7519,41.9339,22.9352,46.5571,25.4638,237.7632,130.0416,47.5857,26.0264,80.4275,43.9888,80.0813,43.7995,100.461,54.9459,100.461,54.9459,335.2963,183.3861,108.6337,59.4158,75.186,41.122,40.6422,22.2287,100.461,54.9459,100.461,54.9459,100.461,54.9459,52.4415,28.6822,109.6036,59.9463,14.7779,8.0826,100.461,54.9459
2026-03-15,25.1369,13.8625,41.9437,23.1312,46.5423,25.6672,237.7895,131.1366,47.5333,26.2137,80.3473,44.3101,80.0246,44.1322,100.483,55.4146,100.483,55.4146,335.7735,185.173,108.5432,59.8596,75.1877,41.4646,40.5911,22.3852,100.483,55.4146,100.483,55.4146,100.483,55.4146,52.4249,28.9114,109.5957,60.44,14.7549,8.137,100.483,55.4146
2026-03-16,25.1304,13.9694,41.9534,23.321,46.5274,25.8636,237.8159,132.1965,47.4809,26.3936,80.2672,44.6188,79.968,44.4524,100.505,55.8685,100.505,55.8685,336.2514,186.9146,108.4529,60.2865,75.1894,41.7961,40.54,22.5353,100.505,55.8685,100.505,55.8685,100.505,55.8685,52.4084,29.1326,109.5878,60.9174,14.7319,8.1891,100.505,55.8685
2026-03-17,25.1239,14.0726,41.9632,23.5048,46.5126,26.0531,237.8423,133.2224,47.4286,26.5661,80.1872,44.9152,79.9115,44.7607,100.5271,56.3081,100.5271,56.3081,336.73,188.6123,108.3626,60.6971,75.1911,42.1167,40.4891,22.6791,100.5271,56.3081,100.5271,56.3081,100.5271,56.3081,52.3919,29.3462,109.5799,61.3789,14.7089,8.2389,100.5271,56.3081
2026-03-18,25.1174,14.1723,41.9729,23.6828,46.4978,26.2359,237.8687,134.2153,47.3763,26.7317,80.1073,45.1998,79.855,45.0575,100.5491,56.7339,100.5491,56.7339,337.2092,190.2673,108.2724,61.0918,75.1928,42.4269,40.4382,22.8169,100.5491,56.7339,100.5491,56.7339,100.5491,56.7339,52.3753,29.5523,109.5719,61.825,14.686,8.2864,100.5491,56.7339
2026-03-19,25.111,14.2685,41.9826,23.8553,46.4829,26.4125,237.8951,135.1764,47.3242,26.8905,80.0274,45.4731,79.7985,45.343,100.5711,57.1464,100.5711,57.1464,337.6892,191.8812,108.1823,61.4712,75.1945,42.7269,40.3874,22.9488,100.5711,57.1464,100.5711,57.1464,100.5711,57.1464,52.3588,29.7512,109.564,62.2563,14.6631,8.3318,100.5711,57.1464
2026-03-20,25.1045,14.3614,41.9924,24.0224,46.4681,26.5828,237.9214,136.1066,47.272,27.0427,79.9476,45.7353,79.7421,45.6177,100.5931,57.5458,100.5931,57.5458,338.1698,193.4552,108.0923,61.8358,75.1962,43.0172,40.3366,23.0752,100.5931,57.5458,100.5931,57.5458,100.5931,57.5458,52.3423,29.9432,109.5561,62.6733,14.6402,8.3752,100.5931,57.5458
2026-03-21,25.098,14.4511,42.0021,24.1843,46.4533,26.7472,237.9478,137.0071,47.2199,27.1886,79.8679,45.9868,79.6857,45.8819,100.6152,57.9328,100.6152,57.9328,338.6511,194.9906,108.0023,62.1862,75.1979,43.2979,40.2859,23.1961,100.6152,57.9328,100.6152,57.9328,100.6152,57.9328,52.3258,30.1285,109.5482,63.0763,14.6174,8.4165,100.6152,57.9328
2026-03-22,25.0915,14.5377,42.0119,24.3411,46.4385,26.9058,237.9742,137.8787,47.1679,27.3284,79.7883,46.2281,79.6293,46.136,100.6372,58.3077,100.6372,58.3077,339.1331,196.4886,107.9124,62.5228,75.1997,43.5696,40.2352,23.3117,100.6372,58.3077,100.6372,58.3077,100.6372,58.3077,52.3093,30.3072,109.5403,63.466,14.5946,8.4559,100.6372,58.3077
2026-03-23,25.0851,14.6212,42.0217,24.493,46.4237,27.0588,238.0006,138.7224,47.116,27.4623,79.7087,46.4595,79.573,46.3804,100.6592,58.6708,100.6592,58.6708,339.6158,197.9504,107.8226,62.8461,75.2014,43.8323,40.1847,23.4223,100.6592,58.6708,100.6592,58.6708,100.6592,58.6708,52.2928,30.4797,109.5324,63.8427,14.5719,8.4934,100.6592,58.6708
2026-03-24,25.0786,14.7019,42.0314,24.6402,46.4089,27.2064,238.027,139.5392,47.0641,27.5905,79.6293,46.6813,79.5167,46.6153,100.6813,59.0227,100.6813,59.0227,340.0991,199.3772,107.7328,63.1565,75.2031,44.0865,40.1342,23.5279,100.6813,59.0227,100.6813,59.0227,100.6813,59.0227,52.2763,30.6461,109.5245,64.2068,14.5492,8.5292,100.6813,59.0227
2026-03-25,25.0721,14.7797,42.0412,24.7828,46.3941,27.3488,238.0534,140.3298,47.0122,27.7132,79.5499,46.8938,79.4605,46.8411,100.7034,59.3635,100.7034,59.3635,340.5832,200.77,107.6432,63.4545,75.2048,44.3324,40.0837,23.6289,100.7034,59.3635,100.7034,59.3635,100.7034,59.3635,52.2598,30.8066,109.5166,64.5588,14.5265,8.5632,100.7034,59.3635
2026-03-26,25.0656,14.8549,42.0509,24.921,46.3793,27.4861,238.0798,141.0953,46.9604,27.8306,79.4706,47.0973,79.4043,47.058,100.7254,59.6938,100.7254,59.6938,341.0679,202.13,107.5536,63.7404,75.2065,44.5703,40.0333,23.7253,100.7254,59.6938,100.7254,59.6938,100.7254,59.6938,52.2433,30.9614,109.5086,64.899,14.5038,8.5955,100.7254,59.6938
2026-03-27,25.0592,14.9274,42.0607,25.0549,46.3645,27.6186,238.1062,141.8363,46.9087,27.9428,79.3914,47.2922,79.3481,47.2665,100.7475,60.0137,100.7475,60.0137,341.5533,203.4581,107.4641,64.0147,75.2082,44.8004,39.983,23.8173,100.7475,60.0137,100.7475,60.0137,100.7475,60.0137,52.2269,31.1107,109.5007,65.2279,14.4812,8.6263,100.7475,60.0137
2026-03-28,25.0527,14.9973,42.0705,25.1847,46.3497,27.7464,238.1326,142.5536,46.857,28.0501,79.3122,47.4788,79.292,47.4667,100.7695,60.3238,100.7695,60.3238,342.0395,204.7555,107.3746,64.2778,75.2099,45.023,39.9327,23.905,100.7695,60.3238,100.7695,60.3238,100.7695,60.3238,52.2104,31.2548,109.4928,65.5458,14.4587,8.6554,100.7695,60.3238
2026-03-29,25.0462,15.0648,42.0802,25.3105,46.3349,27.8696,238.1591,143.2482,46.8054,28.1526,79.2331,47.6572,79.2359,47.6589,100.7916,60.6243,100.7916,60.6243,342.5263,206.0231,107.2852,64.53,75.2116,45.2384,39.8825,23.9886,100.7916,60.6243,100.7916,60.6243,100.7916,60.6243,52.1939,31.3937,109.4849,65.8531,14.4361,8.6831,100.7916,60.6243
2026-03-30,25.0398,15.13,42.09,25.4324,46.3201,27.9884,238.1855,143.9206,46.7538,28.2504,79.1541,47.8279,79.1799,47.8434,100.8137,60.9154,100.8137,60.9154,343.0138,207.2618,107.1959,64.7718,75.2134,45.4467,39.8324,24.0682,100.8137,60.9154,100.8137,60.9154,100.8137,60.9154,52.1775,31.5276,109.477,66.1501,14.4136,8.7093,100.8137,60.9154
2026-03-31,25.0333,15.1928,42.0998,25.5505,46.3054,28.1029,238.2119,144.5717,46.7023,28.3438,79.0752,47.991,79.1239,48.0206,100.8358,61.1976,100.8358,61.1976,343.502,208.4726,107.1067,65.0034,75.2151,45.6483,39.7823,24.144,100.8358,61.1976,100.8358,61.1976,100.8358,61.1976,52.161,31.6567,109.4691,66.4372,14.3912,8.734,100.8358,61.1976
2026-04-01,25.0269,15.2534,42.1095,25.665,46.2906,28.2133,238.2383,145.202,46.6509,28.4329,78.9964,48.1469,79.0679,48.1905,100.8579,61.4711,100.8579,61.4711,343.9909,209.6563,107.0176,65.2253,75.2168,45.8433,39.7323,24.2161,100.8579,61.4711,100.8579,61.4711,100.8579,61.4711,52.1445,31.7812,109.4612,66.7147,14.3687,8.7575,100.8579,61.4711
2026-04-02,25.0204,15.3119,42.1193,25.776,46.2758,28.3197,238.2647,145.8124,46.5995,28.5178,78.9176,48.2957,79.012,48.3535,100.88,61.7362,100.88,61.7362,344.4805,210.8139,106.9285,65.4377,75.2185,46.0319,39.6824,24.2847,100.88,61.7362,100.88,61.7362,100.88,61.7362,52.1281,31.9012,109.4533,66.9828,14.3463,8.7796,100.88,61.7362
2026-04-03,25.014,15.3683,42.1291,25.8836,46.2611,28.4223,238.2912,146.4034,46.5481,28.5987,78.839,48.4378,78.9561,48.5097,100.9021,61.9931,100.9021,61.9931,344.9707,211.9461,106.8395,65.641,75.2202,46.2145,39.6325,24.3498,100.9021,61.9931,100.9021,61.9931,100.9021,61.9931,52.1117,32.0168,109.4454,67.242,14.324,8.8005,100.9021,61.9931
2026-04-04,25.0075,15.4227,42.1389,25.988,46.2463,28.5211,238.3176,146.9757,46.4969,28.6756,78.7604,48.5732,78.9003,48.6595,100.9242,62.2422,100.9242,62.2422,345.4617,213.0538,106.7506,65.8354,75.2219,46.391,39.5827,24.4115,100.9242,62.2422,100.9242,62.2422,100.9242,62.2422,52.0952,32.1283,109.4375,67.4925,14.3016,8.8201,100.9242,62.2422
2026-04-05,25.001,15.4751,42.1487,26.0891,46.2316,28.6164,238.344,147.5299,46.4456,28.7489,78.6818,48.7024,78.8444,48.803,100.9463,62.4836,100.9463,62.4836,345.9534,214.1378,106.6617,66.0213,75.2236,46.5618,39.5329,24.47,100.9463,62.4836,100.9463,62.4836,100.9463,62.4836,52.0788,32.2357,109.4296,67.7346,14.2794,8.8386,100.9463,62.4836
2026-04-06,24.9946,15.5257,42.1585,26.1872,46.2168,28.7081,238.3705,148.0666,46.3945,28.8185,78.6034,48.8254,78.7887,48.9405,100.9684,62.7177,100.9684,62.7177,346.4458,215.1988,106.5729,66.199,75.2254,46.7271,39.4832,24.5255,100.9684,62.7177,100.9684,62.7177,100.9684,62.7177,52.0624,32.3391,109.4217,67.9685,14.2571,8.856,100.9684,62.7177
2026-04-07,24.9881,15.5744,42.1682,26.2823,46.2021,28.7965,238.3969,148.5863,46.3434,28.8846,78.525,48.9425,78.733,49.0721,100.9905,62.9446,100.9905,62.9446,346.9389,216.2376,106.4842,66.3687,75.2271,46.887,39.4336,24.5779,100.9905,62.9446,100.9905,62.9446,100.9905,62.9446,52.0459,32.4388,109.4138,68.1946,14.2349,8.8722,100.9905,62.9446
2026-04-08,24.9817,15.6214,42.178,26.3745,46.1874,28.8816,238.4234,149.0897,46.2923,28.9473,78.4467,49.0539,78.6773,49.1981,101.0126,63.1647,101.0126,63.1647,347.4327,217.2548,106.3956,66.5307,75.2288,47.0417,39.384,24.6274,101.0126,63.1647,101.0126,63.1647,101.0126,63.1647,52.0295,32.5348,109.4059,68.4131,14.2127,8.8874,101.0126,63.1647
2026-04-09,24.9753,15.6667,42.1878,26.464,46.1726,28.9636,238.4498,149.5771,46.2413,29.0067,78.3685,49.1598,78.6216,49.3186,101.0347,63.3781,101.0347,63.3781,347.9271,218.2512,106.307,66.6853,75.2305,47.1913,39.3345,24.6741,101.0347,63.3781,101.0347,63.3781,101.0347,63.3781,52.0131,32.6273,109.3979,68.6242,14.1905,8.9016,101.0347,63.3781
2026-04-10,24.9688,15.7104,42.1976,26.5508,46.1579,29.0426,238.4763,150.0493,46.1904,29.063,78.2904,49.2603,78.566,49.4338,101.0569,63.585,101.0569,63.585,348.4223,219.2274,106.2185,66.8327,75.2322,47.3361,39.2851,24.7182,101.0569,63.585,101.0569,63.585,101.0569,63.585,51.9967,32.7163,109.39,68.8282,14.1684,8.9148,101.0569,63.585
2026-04-11,24.9624,15.7524,42.2074,26.6349,46.1432,29.1186,238.5027,150.5066,46.1395,29.1162,78.2123,49.3557,78.5105,49.5439,101.079,63.7857,101.079,63.7857,348.9182,220.1841,106.1301,66.9732,75.2339,47.4762,39.2357,24.7596,101.079,63.7857,101.079,63.7857,101.079,63.7857,51.9803,32.8021,109.3821,69.0254,14.1463,8.927,101.079,63.7857
2026-04-12,24.9559,15.793,42.2172,26.7165,46.1285,29.1917,238.5292,150.9496,46.0887,29.1665,78.1344,49.4462,78.4549,49.649,101.1012,63.9804,101.1012,63.9804,349.4148,221.1219,106.0418,67.107,75.2356,47.6117,39.1864,24.7985,101.1012,63.9804,101.1012,63.9804,101.1012,63.9804,51.9639,32.8846,109.3742,69.2159,14.1243,8.9383,101.1012,63.9804
2026-04-13,24.9495,15.832,42.227,26.7957,46.1138,29.2621,238.5556,151.3787,46.0379,29.214,78.0565,49.5318,78.3994,49.7494,101.1233,64.1692,101.1233,64.1692,349.9121,222.0415,105.9535,67.2342,75.2373,47.7429,39.1371,24.835,101.1233,64.1692,101.1233,64.1692,101.1233,64.1692,51.9475,32.964,109.3663,69.3999,14.1023,8.9488,101.1233,64.1692
2026-04-14,24.9431,15.8697,42.2368,26.8726,46.0991,29.3298,238.5821,151.7944,45.9872,29.2587,77.9787,49.6128,78.344,49.8452,101.1455,64.3523,101.1455,64.3523,350.4102,222.9433,105.8653,67.3553,75.2391,47.8698,39.0879,24.8691,101.1455,64.3523,101.1455,64.3523,101.1455,64.3523,51.9312,33.0404,109.3584,69.5777,14.0803,8.9584,101.1455,64.3523
2026-04-15,24.9366,15.9059,42.2466,26.9471,46.0844,29.395,238.6085,152.197,45.9365,29.3007,77.9009,49.6893,78.2886,49.9366,101.1676,64.53,101.1676,64.53,350.9089,223.8281,105.7772,67.4703,75.2408,47.9925,39.0388,24.901,101.1676,64.53,101.1676,64.53,101.1676,64.53,51.9148,33.114,109.3505,69.7495,14.0583,8.9671,101.1676,64.53
2026-04-16,24.9302,15.9408,42.2564,27.0195,46.0697,29.4577,238.635,152.5872,45.8859,29.3402,77.8232,49.7615,78.2332,50.0236,101.1898,64.7024,101.1898,64.7024,351.4083,224.6963,105.6892,67.5794,75.2425,48.1113,38.9897,24.9307,101.1898,64.7024,101.1898,64.7024,101.1898,64.7024,51.8984,33.1847,109.3426,69.9155,14.0364,8.9751,101.1898,64.7024
2026-04-17,24.9237,15.9744,42.2663,27.0897,46.055,29.518,238.6615,152.9651,45.8354,29.3772,77.7457,49.8295,78.1779,50.1065,101.2119,64.8697,101.2119,64.8697,351.9085,225.5484,105.6012,67.6829,75.2442,48.2262,38.9407,24.9582,101.2119,64.8697,101.2119,64.8697,101.2119,64.8697,51.882,33.2527,109.3347,70.0758,14.0145,8.9823,101.2119,64.8697
2026-04-18,24.9173,16.0067,42.2761,27.1578,46.0403,29.5759,238.6879,153.3313,45.7849,29.4119,77.6681,49.8934,78.1226,50.1854,101.2341,65.032,101.2341,65.032,352.4093,226.3851,105.5133,67.781,75.2459,48.3374,38.8917,24.9838,101.2341,65.032,101.2341,65.032,101.2341,65.032,51.8657,33.3181,109.3268,70.2307,13.9927,8.9888,101.2341,65.032
2026-04-19,24.9109,16.0378,42.2859,27.224,46.0256,29.6316,238.7144,153.6862,45.7344,29.4442,77.5907,49.9535,78.0673,50.2603,101.2563,65.1896,101.2563,65.1896,352.9109,227.2067,105.4255,67.8737,75.2476,48.445,38.8429,25.0073,101.2563,65.1896,101.2563,65.1896,101.2563,65.1896,51.8493,33.381,109.319,70.3804,13.9709,8.9946,101.2563,65.1896
2026-04-20,24.9045,16.0678,42.2957,27.2882,46.0109,29.6852,238.7409,154.03,45.684,29.4743,77.5134,50.0098,78.0121,50.3316,101.2785,65.3425,101.2785,65.3425,353.4132,228.0138,105.3377,67.9614,75.2493,48.5491,38.794,25.029,101.2785,65.3425,101.2785,65.3425,101.2785,65.3425,51.833,33.4414,109.3111,70.5249,13.9491,8.9996,101.2785,65.3425
2026-04-21,24.898,16.0966,42.3055,27.3505,45.9962,29.7366,238.7674,154.3632,45.6337,29.5022,77.4361,50.0625,77.9569,50.3992,101.3007,65.4909,101.3007,65.4909,353.9162,228.8069,105.2501,68.0442,75.2511,48.6498,38.7453,25.0488,101.3007,65.4909,101.3007,65.4909,101.3007,65.4909,51.8166,33.4995,109.3032,70.6645,13.9274,9.0041,101.3007,65.4909
2026-04-22,24.8916,16.1243,42.3153,27.4111,45.9816,29.786,238.7939,154.6861,45.5835,29.5281,77.3589,50.1116,77.9018,50.4633,101.3228,65.635,101.3228,65.635,354.4199,229.5864,105.1625,68.1222,75.2528,48.7473,38.6966,25.0669,101.3228,65.635,101.3228,65.635,101.3228,65.635,51.8003,33.5552,109.2953,70.7994,13.9057,9.0078,101.3228,65.635
2026-04-23,24.8852,16.151,42.3252,27.4699,45.9669,29.8334,238.8204,154.999,45.5332,29.552,77.2818,50.1574,77.8467,50.524,101.345,65.7749,101.345,65.7749,354.9243,230.3528,105.0749,68.1957,75.2545,48.8416,38.6479,25.0832,101.345,65.7749,101.345,65.7749,101.345,65.7749,51.7839,33.6088,109.2874,70.9296,13.884,9.011,101.345,65.7749
2026-04-24,24.8788,16.1766,42.335,27.5269,45.9523,29.879,238.8468,155.3024,45.4831,29.5739,77.2047,50.1998,77.7917,50.5815,101.3672,65.9107,101.3672,65.9107,355.4295,231.1064,104.9875,68.2647,75.2562,48.9329,38.5993,25.098,101.3672,65.9107,101.3672,65.9107,101.3672,65.9107,51.7676,33.6602,109.2795,71.0554,13.8624,9.0135,101.3672,65.9107
2026-04-25,24.8723,16.2013,42.3448,27.5824,45.9376,29.9226,238.8733,155.5964,45.433,29.5939,77.1277,50.2392,77.7366,50.6358,101.3894,66.0426,101.3894,66.0426,355.9353,231.8477,104.9001,68.3294,75.2579,49.0212,38.5508,25.1111,101.3894,66.0426,101.3894,66.0426,101.3894,66.0426,51.7513,33.7095,109.2716,71.1769,13.8407,9.0155,101.3894,66.0426
2026-04-26,24.8659,16.2249,42.3547,27.6363,45.9229,29.9646,238.8998,155.8814,45.3829,29.6122,77.0508,50.2754,77.6817,50.687,101.4117,66.1708,101.4117,66.1708,356.4419,232.5772,104.8128,68.39,75.2596,49.1067,38.5024,25.1227,101.4117,66.1708,101.4117,66.1708,101.4117,66.1708,51.7349,33.7569,109.2637,71.2942,13.8192,9.017,101.4117,66.1708
2026-04-27,24.8595,16.2477,42.3645,27.6886,45.9083,30.0048,238.9263,156.1576,45.3329,29.6287,76.974,50.3087,77.6267,50.7353,101.4339,66.2952,101.4339,66.2952,356.9492,233.2951,104.7255,68.4466,75.2613,49.1894,38.454,25.1328,101.4339,66.2952,101.4339,66.2952,101.4339,66.2952,51.7186,33.8023,109.2558,71.4075,13.7976,9.0179,101.4339,66.2952
