date,XOM_baseline,XOM_impacted,CVX_baseline,CVX_impacted,COP_baseline,COP_impacted,PXD_baseline,PXD_impacted,EOG_baseline,EOG_impacted,MPC_baseline,MPC_impacted,VLO_baseline,VLO_impacted,PSX_baseline,PSX_impacted,SLB_baseline,SLB_impacted,HAL_baseline,HAL_impacted,OXY_baseline,OXY_impacted,DVN_baseline,DVN_impacted,HES_baseline,HES_impacted,BKR_baseline,BKR_impacted,FANG_baseline,FANG_impacted,APA_baseline,APA_impacted,MRO_baseline,MRO_impacted,OVV_baseline,OVV_impacted,CTRA_baseline,CTRA_impacted,RRC_baseline,RRC_impacted
2026-03-16,150.1623,198.3392,186.1028,245.8106,111.0809,146.7193,100.505,132.7503,122.6939,162.0581,200.1508,264.3657,205.9146,271.9786,158.6477,209.547,51.6761,68.2555,35.6151,47.0416,51.8912,68.5396,44.9156,59.326,100.505,132.7503,63.4506,83.8077,176.1978,232.7278,29.4257,38.8664,100.505,132.7503,51.0099,67.3755,31.4876,41.5899,39.7373,52.4863
2026-03-17,150.2889,198.0448,186.1978,245.3643,111.1049,146.4098,100.5271,132.4706,122.6772,161.6592,200.2996,263.947,206.1416,271.6454,158.7749,209.2274,51.7124,68.1445,35.6372,46.9614,51.8934,68.3831,44.9386,59.2183,100.5271,132.4706,63.5051,83.6846,176.206,232.1974,29.4417,38.7971,100.5271,132.4706,51.0287,67.2436,31.4967,41.5051,39.7385,52.3659
2026-03-18,150.4156,197.7649,186.2929,244.9362,111.129,146.1113,100.5491,132.201,122.6604,161.2727,200.4485,263.5477,206.369,271.332,158.9022,208.9231,51.7486,68.0386,35.6594,46.8846,51.8956,68.2319,44.9616,59.1151,100.5491,132.201,63.5597,83.5677,176.2142,231.6847,29.4577,38.7307,100.5491,132.201,51.0475,67.1167,31.5057,41.4234,39.7397,52.2494
2026-03-19,150.5424,197.4991,186.3881,244.5258,111.153,145.8235,100.5711,131.941,122.6437,160.8983,200.5974,263.1672,206.5966,271.0376,159.0296,208.6337,51.7849,67.9375,35.6815,46.8112,51.8979,68.0857,44.9846,59.0161,100.5711,131.941,63.6143,83.4567,176.2224,231.1892,29.4737,38.6671,100.5711,131.941,51.0662,66.9947,31.5148,41.3448,39.7409,52.1368
2026-03-20,150.6693,197.2469,186.4833,244.1324,111.177,145.5461,100.5931,131.6903,122.6269,160.5356,200.7465,262.8049,206.8244,270.7618,159.1571,208.3587,51.8212,67.8411,35.7037,46.7411,51.9001,67.9444,45.0076,58.9212,100.5931,131.6903,63.6689,83.3514,176.2305,230.7101,29.4897,38.6062,100.5931,131.6903,51.085,66.8774,31.5239,41.2691,39.7421,52.0279
2026-03-21,150.7963,197.0079,186.5785,243.7556,111.2011,145.2787,100.6152,131.4487,122.6102,160.1841,200.8957,262.4602,207.0525,270.5038,159.2847,208.0976,51.8575,67.7493,35.7259,46.6741,51.9023,67.8078,45.0307,58.8304,100.6152,131.4487,63.7236,83.2517,176.2387,230.2471,29.5058,38.5478,100.6152,131.4487,51.1038,66.7646,31.5329,41.1962,39.7433,51.9226
2026-03-22,150.9234,196.7816,186.6738,243.3948,111.2251,145.0209,100.6372,131.2159,122.5934,159.8435,201.045,262.1326,207.2809,270.2633,159.4124,207.85,51.8939,67.6618,35.7481,46.6102,51.9045,67.6758,45.0537,58.7433,100.6372,131.2159,63.7783,83.1574,176.2469,229.7996,29.5218,38.4921,100.6372,131.2159,51.1227,66.6563,31.542,41.1261,39.7445,51.8208
2026-03-23,151.0506,196.5676,186.7692,243.0494,111.2492,144.7725,100.6592,130.9915,122.5767,159.5134,201.1944,261.8215,207.5094,270.0395,159.5403,207.6155,51.9302,67.5787,35.7703,46.5492,51.9068,67.5482,45.0768,58.6601,100.6592,130.9915,63.8331,83.0684,176.255,229.3671,29.5379,38.4387,100.6592,130.9915,51.1415,66.5522,31.5511,41.0586,39.7456,51.7224
2026-03-24,151.178,196.3657,186.8645,242.7191,111.2732,144.5332,100.6813,130.7753,122.5599,159.1936,201.3439,261.5264,207.7383,269.8321,159.6682,207.3936,51.9666,67.4997,35.7925,46.491,51.909,67.4248,45.0999,58.5804,100.6813,130.7753,63.888,82.9843,176.2632,228.949,29.5539,38.3877,100.6813,130.7753,51.1603,66.4523,31.5602,40.9936,39.7468,51.6273
2026-03-25,151.3054,196.1753,186.96,242.4033,111.2973,144.3026,100.7034,130.5671,122.5432,158.8836,201.4936,261.2468,207.9674,269.6405,159.7962,207.184,52.0031,67.4246,35.8147,46.4357,51.9112,67.3056,45.123,58.5042,100.7034,130.5671,63.9428,82.9052,176.2714,228.545,29.57,38.3391,100.7034,130.5671,51.1791,66.3564,31.5692,40.9311,39.748,51.5354
2026-03-26,151.433,195.9961,187.0555,242.1015,111.3213,144.0806,100.7254,130.3665,122.5265,158.5831,201.6433,260.9822,208.1967,269.4641,159.9243,206.9863,52.0395,67.3535,35.837,46.383,51.9135,67.1904,45.1461,58.4315,100.7254,130.3665,63.9977,82.8308,176.2796,228.1545,29.5861,38.2926,100.7254,130.3665,51.198,66.2643,31.5783,40.8711,39.7492,51.4465
2026-03-27,151.5606,195.8278,187.151,241.8133,111.3454,143.8667,100.7475,130.1734,122.5097,158.2918,201.7932,260.732,208.4264,269.3026,160.0526,206.8,52.076,67.2861,35.8593,46.3329,51.9157,67.079,45.1692,58.362,100.7475,130.1734,64.0527,82.761,176.2877,227.7771,29.6022,38.2483,100.7475,130.1734,51.2168,66.176,31.5874,40.8133,39.7504,51.3605
2026-03-28,151.6884,195.67,187.2466,241.5382,111.3695,143.6607,100.7695,129.9874,122.493,158.0095,201.9431,260.496,208.6562,269.1555,160.1809,206.6249,52.1125,67.2224,35.8815,46.2853,51.9179,66.9714,45.1923,58.2957,100.7695,129.9874,64.1077,82.6956,176.2959,227.4124,29.6183,38.206,100.7695,129.9874,51.2356,66.0913,31.5965,40.7578,39.7516,51.2774
2026-03-29,151.8163,195.5224,187.3422,241.2759,111.3935,143.4625,100.7916,129.8084,122.4763,157.7358,202.0932,260.2735,208.8863,269.0223,160.3093,206.4605,52.149,67.1621,35.9038,46.2401,51.9201,66.8673,45.2154,58.2324,100.7916,129.8084,64.1628,82.6345,176.3041,227.06,29.6344,38.1658,100.7916,129.8084,51.2545,66.0101,31.6056,40.7045,39.7528,51.1971
2026-03-30,151.9442,195.3847,187.4379,241.0259,111.4176,143.2716,100.8137,129.6361,122.4595,157.4704,202.2434,260.0642,209.1167,268.9026,160.4379,206.3066,52.1856,67.1053,35.9261,46.1973,51.9224,66.7668,45.2386,58.1722,100.8137,129.6361,64.2179,82.5776,176.3123,226.7195,29.6505,38.1275,100.8137,129.6361,51.2734,65.9323,31.6147,40.6532,39.754,51.1195
2026-03-31,152.0723,195.2565,187.5336,240.7878,111.4417,143.088,100.8358,129.4702,122.4428,157.213,202.3937,259.8677,209.3473,268.7959,160.5665,206.1628,52.2221,67.0517,35.9484,46.1568,51.9246,66.6697,45.2617,58.1148,100.8358,129.4702,64.2731,82.5248,176.3205,226.3904,29.6666,38.0911,100.8358,129.4702,51.2922,65.8578,31.6238,40.604,39.7552,51.0445
