date,ZIM_baseline,ZIM_impacted,MATX_baseline,MATX_impacted,KEX_baseline,KEX_impacted,STNG_baseline,STNG_impacted,FRO_baseline,FRO_impacted,INSW_baseline,INSW_impacted,TEN_baseline,TEN_impacted,DHT_baseline,DHT_impacted,NAT_baseline,NAT_impacted,ESEA_baseline,ESEA_impacted,GSL_baseline,GSL_impacted,DAC_baseline,DAC_impacted,CMRE_baseline,CMRE_impacted,SFL_baseline,SFL_impacted,GOGL_baseline,GOGL_impacted,TRMD_baseline,TRMD_impacted,TNP_baseline,TNP_impacted,SBLK_baseline,SBLK_impacted,GNK_baseline,GNK_impacted,HAFNI_baseline,HAFNI_impacted
2026-03-13,30.3451,16.4485,169.2541,91.7439,132.3312,71.7299,72.6316,39.3698,35.8762,19.4466,69.3999,37.6181,31.866,17.2729,17.8679,9.6853,5.07,2.7482,63.4713,34.4045,41.6225,22.5614,111.8617,60.6345,17.4724,9.4709,10.758,5.8314,100.439,54.4428,27.8746,15.1094,100.439,54.4428,25.9161,14.0478,24.6243,13.3475,100.439,54.4428
2026-03-14,30.3999,16.6211,169.3296,92.5808,132.4012,72.3902,72.6805,39.738,35.935,19.6474,69.4979,37.9979,31.9023,17.4425,17.8891,9.7809,5.0771,2.7759,63.6037,34.7753,41.6918,22.795,111.9566,61.2122,17.4866,9.5608,10.7589,5.8824,100.461,54.927,27.895,15.2516,100.461,54.927,25.9504,14.1883,24.6579,13.4817,100.461,54.927
2026-03-15,30.4548,16.7896,169.4052,93.3924,132.4711,73.0308,72.7295,40.0954,35.9939,19.8433,69.5959,38.3679,31.9385,17.6076,17.9103,9.8739,5.0842,2.8029,63.7364,35.1376,41.7612,23.0228,112.0516,61.7736,17.5009,9.6482,10.7599,5.9319,100.483,55.3959,27.9154,15.3896,100.483,55.3959,25.9847,14.3253,24.6917,13.6124,100.483,55.3959
2026-03-16,30.5098,16.9541,169.4808,94.1793,132.5412,73.6522,72.7784,40.4425,36.0529,20.0343,69.6941,38.7286,31.9748,17.7682,17.9315,9.9644,5.0913,2.8292,63.8694,35.4918,41.8308,23.2451,112.1467,62.3191,17.5151,9.733,10.7608,5.9797,100.505,55.85,27.9358,15.5237,100.505,55.85,26.0191,14.4586,24.7255,13.7398,100.505,55.85
2026-03-17,30.5649,17.1147,169.5565,94.9425,132.6112,74.2552,72.8275,40.7795,36.112,20.2208,69.7925,39.08,32.0112,17.9246,17.9527,10.0526,5.0985,2.8549,64.0027,35.8381,41.9005,23.462,112.2419,62.8494,17.5294,9.8155,10.7617,6.026,100.5271,56.2898,27.9562,15.654,100.5271,56.2898,26.0535,14.5886,24.7593,13.8639,100.5271,56.2898
2026-03-18,30.62,17.2715,169.6322,95.6828,132.6813,74.8402,72.8765,41.1067,36.1712,20.4027,69.891,39.4227,32.0476,18.0768,17.974,10.1384,5.1056,2.8799,64.1362,36.1767,41.9702,23.6737,112.3371,63.3649,17.5437,9.8957,10.7626,6.0707,100.5491,56.7157,27.9767,15.7805,100.5491,56.7157,26.0879,14.7152,24.7932,13.9848,100.5491,56.7157
2026-03-19,30.6753,17.4248,169.7079,96.4007,132.7515,75.408,72.9256,41.4246,36.2305,20.5803,69.9896,39.7568,32.084,18.225,17.9953,10.222,5.1128,2.9042,64.27,36.5079,42.0401,23.8804,112.4325,63.866,17.558,9.9736,10.7635,6.1141,100.5711,57.1283,27.9972,15.9035,100.5711,57.1283,26.1224,14.8386,24.8271,14.1028,100.5711,57.1283
2026-03-20,30.7307,17.5745,169.7837,97.0972,132.8216,75.959,72.9747,41.7333,36.2899,20.7537,70.0884,40.0827,32.1205,18.3693,18.0166,10.3035,5.1199,2.928,64.4041,36.8319,42.1102,24.0823,112.5279,64.3533,17.5723,10.0494,10.7644,6.156,100.5931,57.528,28.0176,16.0229,100.5931,57.528,26.157,14.9589,24.8611,14.2177,100.5931,57.528
2026-03-21,30.7862,17.7208,169.8595,97.7728,132.8918,76.4939,73.0239,42.0333,36.3493,20.923,70.1873,40.4005,32.157,18.5099,18.0379,10.3828,5.1271,2.9512,64.5385,37.149,42.1803,24.2794,112.6233,64.8271,17.5866,10.123,10.7653,6.1966,100.6152,57.9151,28.0381,16.139,100.6152,57.9151,26.1916,15.0761,24.8951,14.3299,100.6152,57.9151
2026-03-22,30.8417,17.8639,169.9353,98.4283,132.9621,77.013,73.0731,42.3247,36.4089,21.0884,70.2863,40.7106,32.1936,18.6469,18.0593,10.4601,5.1343,2.9738,64.6731,37.4593,42.2505,24.4719,112.7189,65.288,17.601,10.1947,10.7662,6.2359,100.6372,58.2901,28.0586,16.2518,100.6372,58.2901,26.2262,15.1905,24.9291,14.4392,100.6372,58.2901
2026-03-23,30.8974,18.0037,170.0112,99.0642,133.0324,77.517,73.1223,42.6078,36.4686,21.25,70.3855,41.0131,32.2302,18.7803,18.0807,10.5355,5.1415,2.9959,64.8081,37.7632,42.3209,24.6601,112.8146,65.7362,17.6153,10.2643,10.7671,6.2739,100.6592,58.6534,28.0791,16.3615,100.6592,58.6534,26.2609,15.302,24.9633,14.5459,100.6592,58.6534
2026-03-24,30.9532,18.1404,170.087,99.6813,133.1027,78.0062,73.1715,42.883,36.5284,21.4078,70.4848,41.3084,32.2668,18.9103,18.1021,10.6089,5.1487,3.0174,64.9433,38.0607,42.3914,24.8439,112.9103,66.1723,17.6297,10.3321,10.768,6.3107,100.6813,59.0053,28.0997,16.4681,100.6813,59.0053,26.2957,15.4108,24.9974,14.65,100.6813,59.0053
2026-03-25,31.0091,18.2742,170.163,100.2802,133.173,78.4813,73.2208,43.1504,36.5883,21.5621,70.5843,41.5966,32.3035,19.0371,18.1235,10.6805,5.1559,3.0385,65.0788,38.3521,42.462,25.0236,113.0061,66.5966,17.644,10.398,10.7689,6.3463,100.7034,59.3463,28.1202,16.5718,100.7034,59.3463,26.3304,15.517,25.0316,14.7516,100.7034,59.3463
2026-03-26,31.0651,18.4051,170.2389,100.8613,133.2434,78.9426,73.2701,43.4103,36.6482,21.713,70.6839,41.878,32.3403,19.1606,18.145,10.7503,5.1631,3.059,65.2145,38.6376,42.5327,25.1993,113.102,67.0095,17.6584,10.4621,10.7698,6.3808,100.7254,59.6767,28.1408,16.6726,100.7254,59.6767,26.3653,15.6206,25.0659,14.8508,100.7254,59.6767
2026-03-27,31.1211,18.5332,170.3149,101.4254,133.3139,79.3906,73.3195,43.663,36.7083,21.8604,70.7836,42.1528,32.377,19.2811,18.1664,10.8184,5.1703,3.079,65.3506,38.9174,42.6036,25.3711,113.198,67.4113,17.6728,10.5245,10.7707,6.4141,100.7475,59.9968,28.1614,16.7706,100.7475,59.9968,26.4001,15.7217,25.1002,14.9476,100.7475,59.9968
2026-03-28,31.1773,18.6585,170.391,101.9729,133.3843,79.8258,73.3689,43.9087,36.7685,22.0046,70.8835,42.4213,32.4138,19.3985,18.188,10.8848,5.1776,3.0986,65.4869,39.1916,42.6745,25.5392,113.2941,67.8025,17.6872,10.5852,10.7716,6.4464,100.7695,60.307,28.182,16.8659,100.7695,60.307,26.435,15.8204,25.1345,15.0421,100.7695,60.307
2026-03-29,31.2336,18.7812,170.467,102.5045,133.4548,80.2485,73.4183,44.1476,36.8288,22.1457,70.9835,42.6835,32.4507,19.5131,18.2095,10.9497,5.1848,3.1177,65.6236,39.4605,42.7456,25.7036,113.3902,68.1833,17.7016,10.6443,10.7725,6.4777,100.7916,60.6076,28.2026,16.9587,100.7916,60.6076,26.47,15.9168,25.1689,15.1344,100.7916,60.6076
2026-03-30,31.29,18.9014,170.5431,103.0205,133.5254,80.6591,73.4678,44.3799,36.8891,22.2837,71.0837,42.9398,32.4876,19.6249,18.2311,11.0129,5.1921,3.1364,65.7605,39.7241,42.8168,25.8645,113.4864,68.5541,17.7161,10.7018,10.7734,6.5079,100.8137,60.8988,28.2232,17.0489,100.8137,60.8988,26.505,16.011,25.2033,15.2247,100.8137,60.8988
2026-03-31,31.3465,19.0192,170.6193,103.5216,133.5959,81.058,73.5172,44.6059,36.9496,22.4188,71.184,43.1902,32.5245,19.7339,18.2526,11.0746,5.1994,3.1547,65.8977,39.9828,42.8881,26.0219,113.5827,68.9152,17.7305,10.7578,10.7743,6.5372,100.8358,61.1811,28.2439,17.1367,100.8358,61.1811,26.5401,16.1029,25.2378,15.3128,100.8358,61.1811
2026-04-01,31.4031,19.1345,170.6954,104.0081,133.6666,81.4457,73.5668,44.8257,37.0102,22.551,71.2845,43.4351,32.5615,19.8404,18.2743,11.1349,5.2067,3.1725,66.0352,40.2365,42.9595,26.1761,113.6791,69.267,17.745,10.8124,10.7752,6.5656,100.8579,61.4547,28.2645,17.2221,100.8579,61.4547,26.5752,16.1928,25.2723,15.3989,100.8579,61.4547
2026-04-02,31.4598,19.2476,170.7716,104.4807,133.7372,81.8225,73.6163,45.0396,37.0708,22.6805,71.3851,43.6745,32.5985,19.9443,18.2959,11.1937,5.2139,3.19,66.1729,40.4856,43.0311,26.3271,113.7756,69.6096,17.7594,10.8655,10.7761,6.593,100.88,61.7199,28.2852,17.3053,100.88,61.7199,26.6103,16.2806,25.3069,15.4832,100.88,61.7199
2026-04-03,31.5165,19.3584,170.8479,104.9396,133.8079,82.1886,73.6659,45.2477,37.1316,22.8073,71.4858,43.9086,32.6356,20.0457,18.3176,11.2512,5.2213,3.207,66.311,40.7301,43.1027,26.4749,113.8721,69.9435,17.7739,10.9172,10.777,6.6196,100.9021,61.9769,28.3059,17.3863,100.9021,61.9769,26.6455,16.3664,25.3416,15.5655,100.9021,61.9769
2026-04-04,31.5734,19.467,170.9241,105.3854,133.8786,82.5446,73.7155,45.4502,37.1925,22.9315,71.5867,44.1377,32.6727,20.1448,18.3393,11.3073,5.2286,3.2237,66.4493,40.9702,43.1745,26.6198,113.9688,70.2689,17.7884,10.9677,10.7779,6.6453,100.9242,62.2261,28.3266,17.4651,100.9242,62.2261,26.6808,16.4504,25.3762,15.646,100.9242,62.2261
2026-04-05,31.6304,19.5736,171.0004,105.8186,133.9494,82.8906,73.7652,45.6474,37.2534,23.0532,71.6877,44.3618,32.7098,20.2415,18.361,11.3621,5.2359,3.2401,66.588,41.206,43.2464,26.7618,114.0655,70.586,17.8029,11.0168,10.7788,6.6702,100.9463,62.4676,28.3473,17.5419,100.9463,62.4676,26.716,16.5324,25.4109,15.7248,100.9463,62.4676
2026-04-06,31.6875,19.6781,171.0768,106.2394,134.0202,83.2271,73.8149,45.8393,37.3145,23.1725,71.7889,44.5812,32.747,20.336,18.3827,11.4157,5.2432,3.2561,66.7269,41.4377,43.3185,26.9009,114.1623,70.8952,17.8174,11.0647,10.7797,6.6943,100.9684,62.7018,28.368,17.6167,100.9684,62.7018,26.7514,16.6127,25.4457,15.8019,100.9684,62.7018
2026-04-07,31.7447,19.7807,171.1531,106.6483,134.091,83.5543,73.8646,46.0262,37.3757,23.2894,71.8902,44.7959,32.7843,20.4284,18.4045,11.4681,5.2506,3.2717,66.8661,41.6654,43.3906,27.0374,114.2591,71.1967,17.8319,11.1114,10.7806,6.7176,100.9905,62.9288,28.3888,17.6895,100.9905,62.9288,26.7868,16.6913,25.4805,15.8773,100.9905,62.9288
2026-04-08,31.8021,19.8813,171.2295,107.0457,134.1619,83.8725,73.9143,46.2082,37.4369,23.404,71.9916,45.0062,32.8215,20.5187,18.4263,11.5194,5.2579,3.287,67.0056,41.8892,43.4629,27.1712,114.3561,71.4908,17.8464,11.1569,10.7816,6.7402,101.0126,63.149,28.4095,17.7605,101.0126,63.149,26.8222,16.7681,25.5154,15.9512,101.0126,63.149
2026-04-09,31.8595,19.9802,171.306,107.432,134.2328,84.1821,73.9641,46.3855,37.4983,23.5165,72.0932,45.2122,32.8589,20.6069,18.4481,11.5694,5.2653,3.302,67.1454,42.1093,43.5353,27.3025,114.4531,71.7776,17.861,11.2013,10.7825,6.7621,101.0347,63.3624,28.4303,17.8296,101.0347,63.3624,26.8577,16.8434,25.5503,16.0235,101.0347,63.3624
2026-04-10,31.917,20.0773,171.3824,107.8075,134.3038,84.4833,74.0139,46.5582,37.5598,23.6268,72.1949,45.4139,32.8962,20.6932,18.4699,11.6184,5.2727,3.3168,67.2855,42.3257,43.6078,27.4313,114.5503,72.0574,17.8755,11.2445,10.7834,6.7832,101.0569,63.5694,28.4511,17.8971,101.0569,63.5694,26.8932,16.9171,25.5853,16.0943,101.0569,63.5694
2026-04-11,31.9746,20.1726,171.459,108.1725,134.3748,84.7763,74.0638,46.7264,37.6213,23.7351,72.2968,45.6117,32.9336,20.7776,18.4918,11.6664,5.2801,3.3312,67.4259,42.5386,43.6804,27.5577,114.6475,72.3305,17.8901,11.2868,10.7843,6.8037,101.079,63.7702,28.4719,17.9628,101.079,63.7702,26.9288,16.9892,25.6203,16.1637,101.079,63.7702
2026-04-12,32.0323,20.2663,171.5355,108.5275,134.4458,85.0615,74.1137,46.8904,37.683,23.8414,72.3988,45.8055,32.9711,20.8602,18.5137,11.7133,5.2875,3.3453,67.5666,42.7482,43.7531,27.6818,114.7448,72.597,17.9047,11.328,10.7852,6.8236,101.1012,63.9649,28.4927,18.0269,101.1012,63.9649,26.9644,17.0599,25.6553,16.2317,101.1012,63.9649
2026-04-13,32.0902,20.3584,171.6121,108.8727,134.5169,85.3391,74.1636,47.0503,37.7448,23.9457,72.501,45.9955,33.0086,20.941,18.5356,11.7592,5.2949,3.3591,67.7075,42.9545,43.826,27.8037,114.8421,72.8572,17.9193,11.3682,10.7861,6.8428,101.1233,64.1538,28.5136,18.0893,101.1233,64.1538,27.0,17.1291,25.6904,16.2983,101.1233,64.1538
2026-04-14,32.1481,20.4489,171.6887,109.2085,134.588,85.6093,74.2136,47.2061,37.8066,24.0482,72.6033,46.1818,33.0461,21.0201,18.5576,11.8042,5.3023,3.3727,67.8488,43.1576,43.899,27.9235,114.9396,73.1113,17.9339,11.4075,10.787,6.8614,101.1455,64.337,28.5344,18.1503,101.1455,64.337,27.0357,17.197,25.7256,16.3636,101.1455,64.337
2026-04-15,32.2061,20.5379,171.7653,109.5351,134.6591,85.8724,74.2635,47.358,37.8686,24.1489,72.7058,46.3646,33.0837,21.0975,18.5795,11.8482,5.3097,3.386,67.9904,43.3576,43.9721,28.0411,115.0371,73.3594,17.9485,11.4458,10.7879,6.8795,101.1676,64.5148,28.5553,18.2098,101.1676,64.5148,27.0715,17.2636,25.7608,16.4277,101.1676,64.5148
2026-04-16,32.2643,20.6255,171.842,109.8529,134.7303,86.1286,74.3136,47.5062,37.9307,24.2478,72.8084,46.544,33.1213,21.1733,18.6015,11.8914,5.3171,3.3991,68.1322,43.5546,44.0453,28.1567,115.1347,73.6018,17.9631,11.4832,10.7888,6.8969,101.1898,64.6872,28.5762,18.2678,101.1898,64.6872,27.1073,17.3288,25.796,16.4905,101.1898,64.6872
2026-04-17,32.3225,20.7116,171.9187,110.1621,134.8015,86.3781,74.3636,47.6507,37.9929,24.3451,72.9111,46.72,33.1589,21.2476,18.6236,11.9336,5.3246,3.4119,68.2744,43.7488,44.1187,28.2704,115.2324,73.8387,17.9778,11.5198,10.7897,6.9138,101.2119,64.8546,28.5971,18.3244,101.2119,64.8546,27.1432,17.3928,25.8313,16.5522,101.2119,64.8546
2026-04-18,32.3809,20.7964,171.9955,110.463,134.8728,86.6212,74.4137,47.7917,38.0551,24.4407,73.014,46.8928,33.1966,21.3203,18.6456,11.975,5.3321,3.4245,68.4168,43.9403,44.1922,28.3822,115.3302,74.0701,17.9924,11.5555,10.7906,6.9302,101.2341,65.017,28.618,18.3797,101.2341,65.017,27.1791,17.4556,25.8667,16.6127,101.2341,65.017
2026-04-19,32.4393,20.8799,172.0722,110.7559,134.944,86.858,74.4638,47.9294,38.1175,24.5347,73.117,47.0625,33.2344,21.3916,18.6677,12.0156,5.3395,3.4368,68.5595,44.129,44.2658,28.4921,115.4281,74.2964,18.0071,11.5904,10.7915,6.9461,101.2563,65.1746,28.6389,18.4337,101.2563,65.1746,27.215,17.5172,25.9021,16.6721,101.2563,65.1746
2026-04-20,32.4979,20.9621,172.149,111.0411,135.0154,87.0888,74.514,48.0637,38.18,24.6272,73.2202,47.2291,33.2722,21.4615,18.6898,12.0555,5.347,3.449,68.7026,44.3152,44.3395,28.6003,115.526,74.5176,18.0218,11.6246,10.7924,6.9614,101.2785,65.3275,28.6599,18.4864,101.2785,65.3275,27.251,17.5777,25.9375,16.7304,101.2785,65.3275
2026-04-21,32.5565,21.043,172.2259,111.3188,135.0867,87.3138,74.5642,48.1948,38.2426,24.7182,73.3235,47.3929,33.31,21.53,18.7119,12.0945,5.3545,3.4609,68.8459,44.4988,44.4134,28.7067,115.6241,74.734,18.0365,11.6579,10.7933,6.9763,101.3007,65.476,28.6808,18.538,101.3007,65.476,27.287,17.6371,25.973,16.7877,101.3007,65.476
2026-04-22,32.6153,21.1228,172.3028,111.5892,135.1581,87.5331,74.6144,48.3229,38.3053,24.8078,73.427,47.5538,33.3479,21.5972,18.7341,12.1329,5.362,3.4726,68.9896,44.68,44.4873,28.8115,115.7222,74.9457,18.0512,11.6906,10.7942,6.9907,101.3228,65.6202,28.7018,18.5883,101.3228,65.6202,27.3231,17.6954,26.0085,16.844,101.3228,65.6202
2026-04-23,32.6742,21.2014,172.3797,111.8526,135.2296,87.7469,74.6647,48.4479,38.3681,24.896,73.5306,47.7121,33.3858,21.6631,18.7563,12.1705,5.3695,3.4841,69.1335,44.8589,44.5614,28.9147,115.8204,75.1528,18.0659,11.7225,10.7951,7.0047,101.345,65.7601,28.7228,18.6375,101.345,65.7601,27.3593,17.7527,26.0441,16.8993,101.345,65.7601
2026-04-24,32.7332,21.2789,172.4566,112.1092,135.3011,87.9554,74.715,48.5701,38.431,24.9829,73.6344,47.8676,33.4237,21.7278,18.7785,12.2074,5.377,3.4955,69.2777,45.0355,44.6356,29.0164,115.9187,75.3555,18.0806,11.7537,10.796,7.0182,101.3672,65.896,28.7438,18.6855,101.3672,65.896,27.3955,17.809,26.0797,16.9537,101.3672,65.896
2026-04-25,32.7923,21.3554,172.5336,112.3593,135.3726,88.1588,74.7653,48.6895,38.494,25.0685,73.7383,48.0207,33.4617,21.7913,18.8007,12.2436,5.3846,3.5066,69.4223,45.2099,44.71,29.1165,116.0171,75.5539,18.0953,11.7842,10.7969,7.0313,101.3894,66.028,28.7648,18.7325,101.3894,66.028,27.4317,17.8644,26.1154,17.0072,101.3894,66.028
2026-04-26,32.8515,21.4307,172.6107,112.603,135.4441,88.3573,74.8156,48.8062,38.5571,25.1528,73.8423,48.1712,33.4998,21.8537,18.823,12.2792,5.3921,3.5176,69.5671,45.3823,44.7844,29.2152,116.1155,75.7482,18.1101,11.8142,10.7979,7.044,101.4117,66.1561,28.7859,18.7785,101.4117,66.1561,27.468,17.9188,26.1512,17.0598,101.4117,66.1561
2026-04-27,32.9108,21.5051,172.6877,112.8405,135.5157,88.551,74.866,48.9202,38.6203,25.2359,73.9465,48.3194,33.5379,21.9149,18.8453,12.3142,5.3997,3.5283,69.7122,45.5525,44.859,29.3125,116.214,75.9385,18.1248,11.8434,10.7988,7.0563,101.4339,66.2806,28.8069,18.8235,101.4339,66.2806,27.5043,17.9723,26.1869,17.1115,101.4339,66.2806
