Target type,Geography,Target,First announced,Date in effect,Legal authority,Rate,Sources,,,,,,
Economy,Japan,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,EO 14326
Economy,Jordan,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,EO 14326
Economy,Kazakhstan,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,25%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,EO 14326
Economy,Laos,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,40%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,EO 14326
Economy,Lesotho,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,
Economy,Libya,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,30%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,
Economy,Liechtenstein,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,
Economy,Madagascar,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,
Economy,Malawi,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,
Economy,Malaysia,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,19%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,EO 14326
Economy,Mauritius,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,
Economy,Mexico,Non-USMCA commodities,2/1/2025,3/4/2025,IEEPA,25%,White House Fact Sheet,EO 14326,,,,,
Economy,Mexico,Non-USMCA energy products,2/1/2025,3/4/2025,IEEPA,10%,White House Fact Sheet,,,,,,
Economy,Mexico,Non-USMCA potash,2/1/2025,3/4/2025,IEEPA,10%,White House Fact Sheet,,,,,,
Economy,Mexico,Non-reciprocal trade: Individual rate,4/2/2025,10/30/2025,IEEPA,0%,USTR Press Release,,,,,,
Economy,Mexico,Digital service taxes,2/21/2025,TBD,Section 301,TBD,White House Fact Sheet,,,,,,
Economy,Moldova,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,25%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,
Economy,Mozambique,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,
Economy,Myanmar (Burma),Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,40%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,EO 14326
