"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2025","2025-Q1","2025-M01","2025-M02","2025-M03","2025-Q2","2025-M04","2025-M05","2025-M06","2025-Q3","2025-M07","2025-M08","2025-M09","2025-Q4","2025-M10","2025-M11","2025-M12","2026-M01"
"IMF.STA:ER(4.0.1)","TZA.XDR_XDC.PA_RT.Q","OBS_VALUE","Tanzania, United Republic of","SDR per domestic currency","Period average","Quarterly","Units","","0.0002996670168771292","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","TZA.XDC_USD.EOP_RT.Q","OBS_VALUE","Tanzania, United Republic of","Domestic currency per US Dollar","End-of-period (EoP)","Quarterly","Units","","2649.975","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","TZA.XDC_USD.EOP_RT.M","OBS_VALUE","Tanzania, United Republic of","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","","","2486.64","2581.29","2649.975","","2679.2","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","TZA.XDC_USD.PA_RT.Q","OBS_VALUE","Tanzania, United Republic of","Domestic currency per US Dollar","Period average","Quarterly","Units","","2542.382","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","TZA.EUR_XDC.EOP_RT.Q","OBS_VALUE","Tanzania, United Republic of","Euros per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.0003489246884746952","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","TZA.XDR_XDC.EOP_RT.Q","OBS_VALUE","Tanzania, United Republic of","SDR per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.0002840094717874696","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SSD.XDC_XDR.EOP_RT.Q","OBS_VALUE","South Sudan, Republic of","Domestic currency per SDR","End-of-period (EoP)","Quarterly","Units","","5925.919656452544","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SSD.XDC_EUR.EOP_RT.Q","OBS_VALUE","South Sudan, Republic of","Domestic currency per Euro","End-of-period (EoP)","Quarterly","Units","","4823.4400347","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SSD.XDC_XDR.EOP_RT.M","OBS_VALUE","South Sudan, Republic of","Domestic currency per SDR","End-of-period (EoP)","Monthly","Units","","","5606.690318055108","5826.048380762886","5925.919656452544","","6092.416337921973","6109.522737078029","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SSD.EUR_XDC.EOP_RT.M","OBS_VALUE","South Sudan, Republic of","Euros per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.0002237545431559351","0.00021581131766946","0.0002073209147011188","","0.0001957184035136331","0.0001958414024602886","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SSD.XDR_XDC.EOP_RT.Q","OBS_VALUE","South Sudan, Republic of","SDR per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.0001687501785332395","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SSD.XDC_XDR.PA_RT.Q","OBS_VALUE","South Sudan, Republic of","Domestic currency per SDR","Period average","Quarterly","Units","","5685.430019107512","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SSD.EUR_XDC.EOP_RT.Q","OBS_VALUE","South Sudan, Republic of","Euros per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.0002073209147011188","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SSD.USD_XDC.EOP_RT.Q","OBS_VALUE","South Sudan, Republic of","US Dollar per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.0002242175692492599","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SSD.USD_XDC.EOP_RT.M","OBS_VALUE","South Sudan, Republic of","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.0002325480967019634","0.0002246811628256748","0.0002242175692492599","","0.000222590540316055","0.0002220645662497212","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SSD.USD_XDC.PA_RT.Q","OBS_VALUE","South Sudan, Republic of","US Dollar per domestic currency","Period average","Quarterly","Units","","0.0002308643806357699","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SSD.XDR_XDC.PA_RT.M","OBS_VALUE","South Sudan, Republic of","SDR per domestic currency","Period average","Monthly","Units","","","0.0001856760437569871","0.0001739824362730258","0.0001687083382921639","","0.0001654820855121219","0.0001643601363969848","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SSD.USD_XDC.PA_RT.M","OBS_VALUE","South Sudan, Republic of","US Dollar per domestic currency","Period average","Monthly","Units","","","0.000241678402368487","0.0002275527982224486","0.0002240982984776442","","0.0002230993098913667","0.0002223932673551814","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SSD.XDC_USD.EOP_RT.M","OBS_VALUE","South Sudan, Republic of","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","","","4300.1857","4450.7514","4459.9538","","4492.5539","4503.1948","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SSD.XDC_USD.PA_RT.Q","OBS_VALUE","South Sudan, Republic of","Domestic currency per US Dollar","Period average","Quarterly","Units","","4331.547366666667","","","","","","","","","","","","","","","",""
