"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2025","2025-Q1","2025-M01","2025-M02","2025-M03","2025-Q2","2025-M04","2025-M05","2025-M06","2025-Q3","2025-M07","2025-M08","2025-M09","2025-Q4","2025-M10","2025-M11","2025-M12","2026-M01"
"IMF.STA:ER(4.0.1)","DJI.USD_XDC.PA_RT.M","OBS_VALUE","Djibouti","US Dollar per domestic currency","Period average","Monthly","Units","","","0.005626797058310498","0.005626797058310498","0.005626797058310498","","0.005626797058310498","0.005626797058310498","0.005626797058310498","","0.005626797058310498","0.005626797058310498","0.005626797058310498","","0.005626797058310498","0.005626797058310498","0.005626797058310498","0.005626797058310498"
"IMF.STA:ER(4.0.1)","SAU.XDC_USD.EOP_RT.M","OBS_VALUE","Saudi Arabia","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","","","3.75","3.75","3.75","","3.75","3.75","3.75","","3.75","3.75","3.75","","3.75","3.75","3.75","3.75"
"IMF.STA:ER(4.0.1)","DJI.USD_XDC.EOP_RT.M","OBS_VALUE","Djibouti","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.005626797058310498","0.005626797058310498","0.005626797058310498","","0.005626797058310498","0.005626797058310498","0.005626797058310498","","0.005626797058310498","0.005626797058310498","0.005626797058310498","","0.005626797058310498","0.005626797058310498","0.005626797058310498","0.005626797058310498"
"IMF.STA:ER(4.0.1)","ARE.USD_XDC.PA_RT.M","OBS_VALUE","United Arab Emirates","US Dollar per domestic currency","Period average","Monthly","Units","","","0.2722940776038121","0.2722940776038121","0.2722940776038121","","0.2722940776038121","0.2722940776038121","0.2722940776038121","","0.2722940776038121","0.2722940776038121","0.2722940776038121","","0.2722940776038121","0.2722940776038121","0.2722940776038121","0.2722940776038121"
"IMF.STA:ER(4.0.1)","ARE.XDC_USD.PA_RT.M","OBS_VALUE","United Arab Emirates","Domestic currency per US Dollar","Period average","Monthly","Units","","","3.6725","3.6725","3.6725","","3.6725","3.6725","3.6725","","3.6725","3.6725","3.6725","","3.6725","3.6725","3.6725","3.6725"
"IMF.STA:ER(4.0.1)","SLV.XDC_USD.PA_RT.M","OBS_VALUE","El Salvador","Domestic currency per US Dollar","Period average","Monthly","Units","","","1","1","1","","1","1","1","","1","1","1","","1","1","1","1"
"IMF.STA:ER(4.0.1)","QAT.USD_XDC.PA_RT.M","OBS_VALUE","Qatar","US Dollar per domestic currency","Period average","Monthly","Units","","","0.2747252747252747","0.2747252747252747","0.2747252747252747","","0.2747252747252747","0.2747252747252747","0.2747252747252747","","0.2747252747252747","0.2747252747252747","0.2747252747252747","","0.2747252747252747","0.2747252747252747","0.2747252747252747","0.2747252747252747"
"IMF.STA:ER(4.0.1)","QAT.XDC_USD.EOP_RT.M","OBS_VALUE","Qatar","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","","","3.64","3.64","3.64","","3.64","3.64","3.64","","3.64","3.64","3.64","","3.64","3.64","3.64","3.64"
"IMF.STA:ER(4.0.1)","QAT.XDC_USD.PA_RT.M","OBS_VALUE","Qatar","Domestic currency per US Dollar","Period average","Monthly","Units","","","3.64","3.64","3.64","","3.64","3.64","3.64","","3.64","3.64","3.64","","3.64","3.64","3.64","3.64"
"IMF.STA:ER(4.0.1)","BRB.XDC_USD.PA_RT.M","OBS_VALUE","Barbados","Domestic currency per US Dollar","Period average","Monthly","Units","","","2","2","2","","2","2","2","","2","2","2","","2","2","2","2"
"IMF.STA:ER(4.0.1)","BLZ.XDC_USD.PA_RT.M","OBS_VALUE","Belize","Domestic currency per US Dollar","Period average","Monthly","Units","","","2","2","2","","2","2","2","","2","2","2","","2","2","2","2"
"IMF.STA:ER(4.0.1)","ABW.XDC_USD.EOP_RT.M","OBS_VALUE","Aruba, Kingdom of the Netherlands","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","","","1.79","1.79","1.79","","1.79","1.79","1.79","","1.79","1.79","1.79","","1.79","1.79","1.79","1.79"
"IMF.STA:ER(4.0.1)","QAT.USD_XDC.EOP_RT.M","OBS_VALUE","Qatar","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.2747252747252747","0.2747252747252747","0.2747252747252747","","0.2747252747252747","0.2747252747252747","0.2747252747252747","","0.2747252747252747","0.2747252747252747","0.2747252747252747","","0.2747252747252747","0.2747252747252747","0.2747252747252747","0.2747252747252747"
"IMF.STA:ER(4.0.1)","ABW.USD_XDC.PA_RT.M","OBS_VALUE","Aruba, Kingdom of the Netherlands","US Dollar per domestic currency","Period average","Monthly","Units","","","0.558659217877095","0.558659217877095","0.558659217877095","","0.558659217877095","0.558659217877095","0.558659217877095","","0.558659217877095","0.558659217877095","0.558659217877095","","0.558659217877095","0.558659217877095","0.558659217877095","0.558659217877095"
"IMF.STA:ER(4.0.1)","BRB.XDC_USD.EOP_RT.M","OBS_VALUE","Barbados","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","","","2","2","2","","2","2","2","","2","2","2","","2","2","2","2"
"IMF.STA:ER(4.0.1)","BLZ.XDC_USD.EOP_RT.M","OBS_VALUE","Belize","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","","","2","2","2","","2","2","2","","2","2","2","","2","2","2","2"
"IMF.STA:ER(4.0.1)","BLZ.USD_XDC.EOP_RT.M","OBS_VALUE","Belize","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.5","0.5","0.5","","0.5","0.5","0.5","","0.5","0.5","0.5","","0.5","0.5","0.5","0.5"
"IMF.STA:ER(4.0.1)","SAU.USD_XDC.PA_RT.M","OBS_VALUE","Saudi Arabia","US Dollar per domestic currency","Period average","Monthly","Units","","","0.2666666666666667","0.2666666666666667","0.2666666666666667","","0.2666666666666667","0.2666666666666667","0.2666666666666667","","0.2666666666666667","0.2666666666666667","0.2666666666666667","","0.2666666666666667","0.2666666666666667","0.2666666666666667","0.2666666666666667"
"IMF.STA:ER(4.0.1)","SAU.XDC_USD.PA_RT.M","OBS_VALUE","Saudi Arabia","Domestic currency per US Dollar","Period average","Monthly","Units","","","3.75","3.75","3.75","","3.75","3.75","3.75","","3.75","3.75","3.75","","3.75","3.75","3.75","3.75"
"IMF.STA:ER(4.0.1)","AIA.XDC_USD.PA_RT.M","OBS_VALUE","Anguilla, United Kingdom-British Overseas Territory","Domestic currency per US Dollar","Period average","Monthly","Units","","","2.7","2.7","2.7","","2.7","2.7","2.7","","2.7","2.7","2.7","","2.7","2.7","2.7","2.7"
"IMF.STA:ER(4.0.1)","VCT.XDC_USD.EOP_RT.M","OBS_VALUE","St. Vincent and the Grenadines","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","","","2.7","2.7","2.7","","2.7","2.7","2.7","","2.7","2.7","2.7","","2.7","2.7","2.7","2.7"
"IMF.STA:ER(4.0.1)","GRD.XDC_USD.PA_RT.M","OBS_VALUE","Grenada","Domestic currency per US Dollar","Period average","Monthly","Units","","","2.7","2.7","2.7","","2.7","2.7","2.7","","2.7","2.7","2.7","","2.7","2.7","2.7","2.7"
"IMF.STA:ER(4.0.1)","ATG.USD_XDC.EOP_RT.M","OBS_VALUE","Antigua and Barbuda","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.3703703703703704","0.3703703703703704","0.3703703703703704","","0.3703703703703704","0.3703703703703704","0.3703703703703704","","0.3703703703703704","0.3703703703703704","0.3703703703703704","","0.3703703703703704","0.3703703703703704","0.3703703703703704","0.3703703703703704"
"IMF.STA:ER(4.0.1)","LCA.XDC_USD.PA_RT.M","OBS_VALUE","St. Lucia","Domestic currency per US Dollar","Period average","Monthly","Units","","","2.7","2.7","2.7","","2.7","2.7","2.7","","2.7","2.7","2.7","","2.7","2.7","2.7","2.7"
"IMF.STA:ER(4.0.1)","ATG.XDC_USD.EOP_RT.M","OBS_VALUE","Antigua and Barbuda","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","","","2.7","2.7","2.7","","2.7","2.7","2.7","","2.7","2.7","2.7","","2.7","2.7","2.7","2.7"
"IMF.STA:ER(4.0.1)","ERI.USD_XDC.PA_RT.M","OBS_VALUE","Eritrea, The State of","US Dollar per domestic currency","Period average","Monthly","Units","","","0.06633499170812604","0.06633499170812604","0.06633499170812604","","0.06633499170812604","0.06633499170812604","0.06633499170812604","","0.06633499170812604","0.06633499170812604","0.06633499170812604","","0.06633499170812604","0.06633499170812604","0.06633499170812604","0.06633499170812604"
"IMF.STA:ER(4.0.1)","SLV.USD_XDC.EOP_RT.M","OBS_VALUE","El Salvador","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","","","1","1","1","","1","1","1","","1","1","1","","1","1","1","1"
"IMF.STA:ER(4.0.1)","BHR.USD_XDC.PA_RT.M","OBS_VALUE","Bahrain, Kingdom of","US Dollar per domestic currency","Period average","Monthly","Units","","","2.659574468085106","2.659574468085106","2.659574468085106","","2.659574468085106","2.659574468085106","2.659574468085106","","2.659574468085106","2.659574468085106","2.659574468085106","","2.659574468085106","2.659574468085106","2.659574468085106","2.659574468085106"
"IMF.STA:ER(4.0.1)","ARE.XDC_USD.EOP_RT.M","OBS_VALUE","United Arab Emirates","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","","","3.6725","3.6725","3.6725","","3.6725","3.6725","3.6725","","3.6725","3.6725","3.6725","","3.6725","3.6725","3.6725","3.6725"
"IMF.STA:ER(4.0.1)","SLV.USD_XDC.PA_RT.M","OBS_VALUE","El Salvador","US Dollar per domestic currency","Period average","Monthly","Units","","","1","1","1","","1","1","1","","1","1","1","","1","1","1","1"
"IMF.STA:ER(4.0.1)","SLV.XDC_USD.EOP_RT.M","OBS_VALUE","El Salvador","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","","","1","1","1","","1","1","1","","1","1","1","","1","1","1","1"
"IMF.STA:ER(4.0.1)","BRB.USD_XDC.PA_RT.M","OBS_VALUE","Barbados","US Dollar per domestic currency","Period average","Monthly","Units","","","0.5","0.5","0.5","","0.5","0.5","0.5","","0.5","0.5","0.5","","0.5","0.5","0.5","0.5"
"IMF.STA:ER(4.0.1)","BRB.USD_XDC.EOP_RT.M","OBS_VALUE","Barbados","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.5","0.5","0.5","","0.5","0.5","0.5","","0.5","0.5","0.5","","0.5","0.5","0.5","0.5"
"IMF.STA:ER(4.0.1)","BLZ.USD_XDC.PA_RT.M","OBS_VALUE","Belize","US Dollar per domestic currency","Period average","Monthly","Units","","","0.5","0.5","0.5","","0.5","0.5","0.5","","0.5","0.5","0.5","","0.5","0.5","0.5","0.5"
"IMF.STA:ER(4.0.1)","PLW.XDC_USD.PA_RT.M","OBS_VALUE","Palau, Republic of","Domestic currency per US Dollar","Period average","Monthly","Units","","","1","1","1","","1","1","1","","1","1","1","","1","1","1","1"
"IMF.STA:ER(4.0.1)","DMA.USD_XDC.PA_RT.M","OBS_VALUE","Dominica","US Dollar per domestic currency","Period average","Monthly","Units","","","0.3703703703703704","0.3703703703703704","0.3703703703703704","","0.3703703703703704","0.3703703703703704","0.3703703703703704","","0.3703703703703704","0.3703703703703704","0.3703703703703704","","0.3703703703703704","0.3703703703703704","0.3703703703703704","0.3703703703703704"
"IMF.STA:ER(4.0.1)","DMA.USD_XDC.EOP_RT.M","OBS_VALUE","Dominica","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.3703703703703704","0.3703703703703704","0.3703703703703704","","0.3703703703703704","0.3703703703703704","0.3703703703703704","","0.3703703703703704","0.3703703703703704","0.3703703703703704","","0.3703703703703704","0.3703703703703704","0.3703703703703704","0.3703703703703704"
"IMF.STA:ER(4.0.1)","BMU.USD_XDC.PA_RT.M","OBS_VALUE","Bermuda","US Dollar per domestic currency","Period average","Monthly","Units","","","1","1","1","","1","1","1","","1","1","1","","1","1","1","1"
"IMF.STA:ER(4.0.1)","TLS.XDC_USD.EOP_RT.M","OBS_VALUE","Timor-Leste, Democratic Republic of","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","","","1","1","1","","1","1","1","","1","1","1","","1","1","1","1"
"IMF.STA:ER(4.0.1)","ABW.XDC_USD.PA_RT.M","OBS_VALUE","Aruba, Kingdom of the Netherlands","Domestic currency per US Dollar","Period average","Monthly","Units","","","1.79","1.79","1.79","","1.79","1.79","1.79","","1.79","1.79","1.79","","1.79","1.79","1.79","1.79"
"IMF.STA:ER(4.0.1)","SLB.XDC_XDR.PA_RT.M","OBS_VALUE","Solomon Islands","Domestic currency per SDR","Period average","Monthly","Units","","","11.05748376961261","11.08212285734101","11.20051714207817","","11.2611849790286","11.30396989057582","11.39988144724074","","11.3639708800376","11.26934642993764","11.28939018306749","","11.25187339403457","11.1987860181387","11.17313689928968",""
"IMF.STA:ER(4.0.1)","SLB.XDC_XDR.EOP_RT.M","OBS_VALUE","Solomon Islands","Domestic currency per SDR","End-of-period (EoP)","Monthly","Units","","","11.07752899117283","11.1120825540615","11.08169558745788","","11.32927522546711","11.33423990477896","11.47872888229551","","11.1883628280805","11.29242974074935","11.31165790730338","","11.2078779869516","11.20005309721172","11.14322876889982",""
"IMF.STA:ER(4.0.1)","SLB.USD_XDC.PA_RT.M","OBS_VALUE","Solomon Islands","US Dollar per domestic currency","Period average","Monthly","Units","","","0.1177133330281072","0.1180195112997938","0.1185943328097547","","0.1197190188679245","0.1197","0.1197","","0.1204341388458163","0.1212142284596174","0.1214587344183621","","0.1212521175177733","0.1212049960839276","0.1223074007430226",""
"IMF.STA:ER(4.0.1)","SLB.XDC_USD.EOP_RT.M","OBS_VALUE","Solomon Islands","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","","","8.49617672047579","8.48896434634974","8.34028356964137","","8.35421888053467","8.35421888053467","8.35421888053467","","8.25763831544178","8.25082508250825","8.25082508250825","","8.25082508250825","8.24402308326463","8.1366965012205",""
"IMF.STA:ER(4.0.1)","SLB.USD_XDC.EOP_RT.A","OBS_VALUE","Solomon Islands","US Dollar per domestic currency","End-of-period (EoP)","Annual","Units","0.1229000000000001","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SLB.XDC_XDR.PA_RT.Q","OBS_VALUE","Solomon Islands","Domestic currency per SDR","Period average","Quarterly","Units","","11.11325266773382","","","","11.3215305030807","","","","11.3075698424701","","","","11.20798198140597","","","",""
"IMF.STA:ER(4.0.1)","SLB.USD_XDC.PA_RT.A","OBS_VALUE","Solomon Islands","US Dollar per domestic currency","Period average","Annual","Units","0.1200935432744437","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KHM.EUR_XDC.PA_RT.Q","OBS_VALUE","Cambodia","Euros per domestic currency","Period average","Quarterly","Units","","0.0002364259600075421","","","","0.0002200595697343444","","","","0.0002135025527830896","","","","0.0002139901892175837","","","",""
"IMF.STA:ER(4.0.1)","SLB.XDC_EUR.PA_RT.A","OBS_VALUE","Solomon Islands","Domestic currency per Euro","Period average","Annual","Units","9.409191422328255","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SLB.XDC_USD.EOP_RT.Q","OBS_VALUE","Solomon Islands","Domestic currency per US Dollar","End-of-period (EoP)","Quarterly","Units","","8.34028356964137","","","","8.35421888053467","","","","8.25082508250825","","","","8.1366965012205","","","",""
"IMF.STA:ER(4.0.1)","KHM.XDC_USD.PA_RT.Q","OBS_VALUE","Cambodia","Domestic currency per US Dollar","Period average","Quarterly","Units","","4019.279761904763","","","","4007.947759856633","","","","4009.793189964157","","","","4016.711704301077","","","",""
"IMF.STA:ER(4.0.1)","SLB.XDC_EUR.EOP_RT.A","OBS_VALUE","Solomon Islands","Domestic currency per Euro","End-of-period (EoP)","Annual","Units","9.560618388934088","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SLB.XDR_XDC.PA_RT.A","OBS_VALUE","Solomon Islands","SDR per domestic currency","Period average","Annual","Units","0.08898400697484461","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SLB.USD_XDC.EOP_RT.M","OBS_VALUE","Solomon Islands","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.1176999999999999","0.1178000000000001","0.1199","","0.1197","0.1197","0.1197","","0.1211000000000001","0.1212","0.1212","","0.1212","0.1213","0.1229000000000001",""
"IMF.STA:ER(4.0.1)","SLB.XDC_XDR.EOP_RT.A","OBS_VALUE","Solomon Islands","Domestic currency per SDR","End-of-period (EoP)","Annual","Units","11.14322876889982","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SLB.USD_XDC.EOP_RT.Q","OBS_VALUE","Solomon Islands","US Dollar per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.1199","","","","0.1197","","","","0.1212","","","","0.1229000000000001","","","",""
"IMF.STA:ER(4.0.1)","SLB.XDC_EUR.PA_RT.M","OBS_VALUE","Solomon Islands","Domestic currency per Euro","Period average","Monthly","Units","","","8.795713286153438","8.822693709983353","9.112416477054989","","9.366890996969632","9.421927835461671","9.620877590802406","","9.695647494242893","9.595761751107952","9.659434810440111","","9.591943646595614","9.537725649522908","9.573185444693741",""
"IMF.STA:ER(4.0.1)","SLB.XDC_XDR.PA_RT.A","OBS_VALUE","Solomon Islands","Domestic currency per SDR","Period average","Annual","Units","11.23797448549036","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SLB.USD_XDC.PA_RT.Q","OBS_VALUE","Solomon Islands","US Dollar per domestic currency","Period average","Quarterly","Units","","0.1181079310668568","","","","0.1197063389511869","","","","0.1210341202249769","","","","0.1215860474256286","","","",""
"IMF.STA:ER(4.0.1)","SLB.XDC_EUR.PA_RT.Q","OBS_VALUE","Solomon Islands","Domestic currency per Euro","Period average","Quarterly","Units","","8.909996647435777","","","","9.471538731702305","","","","9.650884903076395","","","","9.568673479674019","","","",""
"IMF.STA:ER(4.0.1)","SLB.XDC_USD.EOP_RT.A","OBS_VALUE","Solomon Islands","Domestic currency per US Dollar","End-of-period (EoP)","Annual","Units","8.1366965012205","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SLB.XDC_EUR.EOP_RT.Q","OBS_VALUE","Solomon Islands","Domestic currency per Euro","End-of-period (EoP)","Quarterly","Units","","9.020016680567141","","","","9.791144527986634","","","","9.687293729372936","","","","9.560618388934088","","","",""
"IMF.STA:ER(4.0.1)","SLB.XDR_XDC.PA_RT.Q","OBS_VALUE","Solomon Islands","SDR per domestic currency","Period average","Quarterly","Units","","0.08998265673409879","","","","0.08832728046158513","","","","0.08843633193792889","","","","0.08922212773530497","","","",""
"IMF.STA:ER(4.0.1)","SLB.XDC_EUR.EOP_RT.M","OBS_VALUE","Solomon Islands","Domestic currency per Euro","End-of-period (EoP)","Monthly","Units","","","8.830076465590489","8.837860780984715","9.020016680567141","","9.50125313283208","9.472848788638263","9.791144527986634","","9.451692815854661","9.618811881188117","9.687293729372936","","9.533003300330032","9.535037098103872","9.560618388934088",""
"IMF.STA:ER(4.0.1)","SLB.XDC_XDR.EOP_RT.Q","OBS_VALUE","Solomon Islands","Domestic currency per SDR","End-of-period (EoP)","Quarterly","Units","","11.08169558745788","","","","11.47872888229551","","","","11.31165790730338","","","","11.14322876889982","","","",""
"IMF.STA:ER(4.0.1)","SLB.XDR_XDC.PA_RT.M","OBS_VALUE","Solomon Islands","SDR per domestic currency","Period average","Monthly","Units","","","0.09043648815909898","0.09023541905038355","0.0892815918510757","","0.08880060152304335","0.08846449607351709","0.08772021048008731","","0.08799740958124413","0.08873629062848267","0.08857874373939705","","0.08887408922768116","0.0892953931238884","0.08950038015407955",""
"IMF.STA:ER(4.0.1)","SLB.EUR_XDC.PA_RT.M","OBS_VALUE","Solomon Islands","Euros per domestic currency","Period average","Monthly","Units","","","0.1136917459069795","0.1133440684751921","0.1097403748520488","","0.1067590089735772","0.1061353915529115","0.103940621898776","","0.1031390632336605","0.1042126749222945","0.1035257258446612","","0.1042541571180854","0.1048467985708964","0.1044584381841557",""
"IMF.STA:ER(4.0.1)","SLB.XDC_USD.PA_RT.Q","OBS_VALUE","Solomon Islands","Domestic currency per US Dollar","Period average","Quarterly","Units","","8.46683191354808","","","","8.35377648971266","","","","8.262133009610933","","","","8.224627917209637","","","",""
"IMF.STA:ER(4.0.1)","SLB.XDC_USD.PA_RT.M","OBS_VALUE","Solomon Islands","Domestic currency per US Dollar","Period average","Monthly","Units","","","8.49521438460351","8.47317523167669","8.43210612436404","","8.35289170806864","8.35421888053467","8.35421888053467","","8.30329348126309","8.24985657796065","8.23324896960906","","8.24727864940931","8.25048498254607","8.17612011967353",""
"IMF.STA:ER(4.0.1)","SLB.EUR_XDC.EOP_RT.M","OBS_VALUE","Solomon Islands","Euros per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.113249302415087","0.1131495533570263","0.1108645399907536","","0.1052492745977315","0.1055648646265103","0.1021331058020478","","0.1058011532413071","0.1039629439011838","0.1032280044289243","","0.1048987363683573","0.1048763617499568","0.1045957446808511",""
"IMF.STA:ER(4.0.1)","SLB.EUR_XDC.EOP_RT.Q","OBS_VALUE","Solomon Islands","Euros per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.1108645399907536","","","","0.1021331058020478","","","","0.1032280044289243","","","","0.1045957446808511","","","",""
"IMF.STA:ER(4.0.1)","SLB.EUR_XDC.PA_RT.Q","OBS_VALUE","Solomon Islands","Euros per domestic currency","Period average","Quarterly","Units","","0.1122334877968547","","","","0.1055794658425339","","","","0.1036174413064684","","","","0.1045076940000326","","","",""
"IMF.STA:ER(4.0.1)","SLB.XDR_XDC.EOP_RT.Q","OBS_VALUE","Solomon Islands","SDR per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.09023889819999993","","","","0.08711765999999998","","","","0.0884043708","","","","0.08974059680000008","","","",""
"IMF.STA:ER(4.0.1)","SLB.XDC_USD.PA_RT.A","OBS_VALUE","Solomon Islands","Domestic currency per US Dollar","Period average","Annual","Units","8.326842332520328","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SLB.XDR_XDC.EOP_RT.M","OBS_VALUE","Solomon Islands","SDR per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.09027283979999996","0.08999213200000003","0.09023889819999993","","0.08826689969999997","0.08822823660000004","0.08711765999999998","","0.08937858160000002","0.08855490119999997","0.0884043708","","0.0892229556","0.08928529100000003","0.08974059680000008",""
"IMF.STA:ER(4.0.1)","SLB.EUR_XDC.EOP_RT.A","OBS_VALUE","Solomon Islands","Euros per domestic currency","End-of-period (EoP)","Annual","Units","0.1045957446808511","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SLB.EUR_XDC.PA_RT.A","OBS_VALUE","Solomon Islands","Euros per domestic currency","Period average","Annual","Units","0.1062790579036339","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SLB.XDR_XDC.EOP_RT.A","OBS_VALUE","Solomon Islands","SDR per domestic currency","End-of-period (EoP)","Annual","Units","0.08974059680000008","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KHM.XDC_XDR.EOP_RT.A","OBS_VALUE","Cambodia","Domestic currency per SDR","End-of-period (EoP)","Annual","Units","5502.662313473716","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KHM.XDC_USD.EOP_RT.Q","OBS_VALUE","Cambodia","Domestic currency per US Dollar","End-of-period (EoP)","Quarterly","Units","","4002","","","","4013.3","","","","4012.7","","","","4018","","","",""
"IMF.STA:ER(4.0.1)","KHM.XDC_USD.EOP_RT.M","OBS_VALUE","Cambodia","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","","","4025","4014","4002","","4005.5","4007.1","4013.3","","4007.65","4010","4012.7","","4022.565","4010.565","4018",""
"IMF.STA:ER(4.0.1)","KHM.XDC_USD.PA_RT.M","OBS_VALUE","Cambodia","Domestic currency per US Dollar","Period average","Monthly","Units","","","4033.04838709677","4015.83928571429","4008.95161290323","","4006.61666666667","4006.30161290323","4010.925","","4010.94516129032","4008.36774193548","4010.06666666667","","4022.55994623656","4014.65016666667","4012.925",""
"IMF.STA:ER(4.0.1)","KHM.USD_XDC.EOP_RT.A","OBS_VALUE","Cambodia","US Dollar per domestic currency","End-of-period (EoP)","Annual","Units","0.0002488800398208064","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KHM.XDR_XDC.PA_RT.Q","OBS_VALUE","Cambodia","SDR per domestic currency","Period average","Quarterly","Units","","0.0001895533714580384","","","","0.0001841007925079942","","","","0.0001822220505491465","","","","0.0001826914293646875","","","",""
"IMF.STA:ER(4.0.1)","KHM.XDC_EUR.PA_RT.Q","OBS_VALUE","Cambodia","Domestic currency per Euro","Period average","Quarterly","Units","","4229.653968490176","","","","4544.22409898919","","","","4683.784746199084","","","","4673.111434016291","","","",""
"IMF.STA:ER(4.0.1)","KHM.XDR_XDC.EOP_RT.A","OBS_VALUE","Cambodia","SDR per domestic currency","End-of-period (EoP)","Annual","Units","0.0001817302140368343","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KHM.XDR_XDC.PA_RT.M","OBS_VALUE","Cambodia","SDR per domestic currency","Period average","Monthly","Units","","","0.0001904954469577427","0.0001903912142195408","0.0001877877136300069","","0.0001851292174527975","0.0001844723225465783","0.0001827094345063097","","0.0001821686131228298","0.0001826333605288752","0.0001818650190242029","","0.0001822146564301438","0.000183510460287724","0.0001823522390516143",""
"IMF.STA:ER(4.0.1)","KHM.XDC_XDR.PA_RT.A","OBS_VALUE","Cambodia","Domestic currency per SDR","Period average","Annual","Units","5416.562127746892","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KHM.USD_XDC.PA_RT.M","OBS_VALUE","Cambodia","US Dollar per domestic currency","Period average","Monthly","Units","","","0.0002479514015253013","0.0002490139492278342","0.0002494417734505439","","0.0002495871412704815","0.0002496067686914202","0.0002493190473519201","","0.0002493177941326678","0.0002494781078936485","0.0002493724127612174","","0.000248597911122638","0.0002490877058984922","0.000249194789336955",""
"IMF.STA:ER(4.0.1)","KHM.USD_XDC.PA_RT.Q","OBS_VALUE","Cambodia","US Dollar per domestic currency","Period average","Quarterly","Units","","0.0002488007949777782","","","","0.0002495042500343794","","","","0.0002493894205074798","","","","0.0002489598640921141","","","",""
"IMF.STA:ER(4.0.1)","KHM.XDR_XDC.EOP_RT.M","OBS_VALUE","Cambodia","SDR per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.000190552546583851","0.0001903188839063279","0.0001880604697651174","","0.0001840971164648608","0.0001839430011729181","0.0001813470211546608","","0.0001841617905755243","0.0001822072319201995","0.0001817751140130086","","0.0001830083541223075","0.0001835327441395414","0.0001817302140368343",""
"IMF.STA:ER(4.0.1)","KHM.USD_XDC.EOP_RT.Q","OBS_VALUE","Cambodia","US Dollar per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.0002498750624687656","","","","0.0002491715047467172","","","","0.0002492087621800783","","","","0.0002488800398208064","","","",""
"IMF.STA:ER(4.0.1)","KHM.XDR_XDC.PA_RT.A","OBS_VALUE","Cambodia","SDR per domestic currency","Period average","Annual","Units","0.0001846189476674509","","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","KHM.EUR_XDC.EOP_RT.M","OBS_VALUE","Cambodia","Euros per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.0002390524439227789","0.0002392931051951155","0.0002310449028837407","","0.0002195170333309066","0.0002200873412652239","0.0002126036729920795","","0.0002179999892264405","0.000213910240696081","0.0002122551419641242","","0.0002151615014677109","0.000215581382462435","0.0002118127998474948",""
