Target type,Geography,Target,First announced,Date in effect,Legal authority,Rate,Sources,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,country_raw,country_std,First announced_parsed,event_date,month_start,sector_raw,sector_std,country_iso3,mapping_confidence
Economy,Falkland Islands,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,10%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,Falkland Islands,FALKLAND ISLANDS,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,,unmapped
Economy,Fiji,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,Fiji,FIJI,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,FJI,high
Other,Global,Non-reciprocal trade: Global baseline,4/2/2025,4/5/2025,IEEPA,10%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,,Global,GLOBAL,2025-04-02,2025-04-05,2025-04-01,Non-reciprocal trade: Global baseline,GENERAL,GLB,pseudo
Other,Global,Low value imports (removal of de minimis exemption),7/30/2025,8/29/2025,IEEPA,Removal of duty-free treatment for shipments under $800,EO 14324,,,,,,,Global,GLOBAL,2025-07-30,2025-08-29,2025-08-01,Low value imports (removal of de minimis exemption),MARITIME,GLB,pseudo
Sector,Global,Polysilicon and its derivatives,7/1/2025,Under investigation,Section 232,TBD,90 FR 31955,,,,,,,Global,GLOBAL,2025-07-01,,2025-07-01,Polysilicon and its derivatives,OTHER,GLB,pseudo
Sector,Global,Unmanned Aircraft Systems (UAS/Drones) and parts,7/1/2025,Under investigation,Section 232,TBD,90 FR 31958,,,,,,,Global,GLOBAL,2025-07-01,,2025-07-01,Unmanned Aircraft Systems (UAS/Drones) and parts,AEROSPACE,GLB,pseudo
Sector,Global,Steel and aluminum,2/10/2025,3/12/2025,Section 232,25%,Proclamation 10895,90 FR 11251,Proclamation 10896,,,,,Global,GLOBAL,2025-02-10,2025-03-12,2025-03-01,Steel and aluminum,STEEL_ALUMINUM,GLB,pseudo
Sector,Global,Copper,2/25/2025,8/1/2025,Section 232,50%,EO 14220,White House Proclamation,,,,,,Global,GLOBAL,2025-02-25,2025-08-01,2025-08-01,Copper,METALS,GLB,pseudo
Sector,Global,Timber and lumber,3/1/2025,Report due no later than 11/26/2025,Section 232,TBD,EO 14223,,,,,,,Global,GLOBAL,2025-03-01,,2025-03-01,Timber and lumber,LUMBER,GLB,pseudo
Sector,Global,Automobiles,3/26/2025,4/3/2025,"Section 232, 301, 604",25%,Proclamation 10908,Proclamation 10925,EO 14289,,,,,Global,GLOBAL,2025-03-26,2025-04-03,2025-04-01,Automobiles,AUTOMOTIVE,GLB,pseudo
Sector,Global,Automobile parts,3/26/2025,5/3/2025,"Section 232, 301, 604",25%,Proclamation 10908,Proclamation 10925,EO 14289,,,,,Global,GLOBAL,2025-03-26,2025-05-03,2025-05-01,Automobile parts,AUTOMOTIVE,GLB,pseudo
Sector,Global,Processed critical minerals & derivative products,4/15/2025,Report due no later than 10/12/2025,Section 232,TBD,EO 14272,,,,,,,Global,GLOBAL,2025-04-15,,2025-04-01,Processed critical minerals & derivative products,MINERALS,GLB,pseudo
Sector,Global,Semiconductors and semiconductor manufacturing equipment,4/1/2025,Report due no later than 12/27/2025,Section 232,TBD,90 FR 15950,,,,,,,Global,GLOBAL,2025-04-01,,2025-04-01,Semiconductors and semiconductor manufacturing equipment,SEMICONDUCTORS,GLB,pseudo
Sector,Global,"Trucks, truck parts, and derivative products",4/22/2025,Report due no later than 1/17/2026,Section 232,TBD,90 FR 17371,,,,,,,Global,GLOBAL,2025-04-22,,2025-04-01,"Trucks, truck parts, and derivative products",OTHER,GLB,pseudo
Sector,China,"Maritime, logistics, and shipbuilding",4/17/2024,"Pending implementation, 10/14/2025",Section 301,"Chinese-owned and operated ships: $50 per net ton, Chinese-built ships operated by non-Chinese entities: $18 per net ton, Ship-to-shore cranes, cargo handling machinery: TBD",USTR Press Release,EO 14269,,,,,,China,CHINA,2024-04-17,,2024-04-01,"Maritime, logistics, and shipbuilding",MARITIME,CHN,high
Sector,Global,Pharmaceuticals & pharmaceutical ingredients,4/1/2025,Report due no later than 12/27/2025,Section 232,TBD,90 FR 15951,,,,,,,Global,GLOBAL,2025-04-01,,2025-04-01,Pharmaceuticals & pharmaceutical ingredients,PHARMACEUTICALS,GLB,pseudo
Sector,Global,Commercial aircraft and jet engines & parts ,5/1/2025,Report due no later than 1/26/2026,Section 232,TBD,90 FR 20273,,,,,,,Global,GLOBAL,2025-05-01,,2025-05-01,Commercial aircraft and jet engines & parts ,AEROSPACE,GLB,pseudo
Economy,Ghana,Non-reciprocal trade: Individual rate,8/1/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14326,,,,,Ghana,GHANA,2025-08-01,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,GHA,high
Economy,Guyana,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,Guyana,GUYANA,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,GUY,high
Economy,Iceland,Non-reciprocal trade: Individual rate,8/1/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14326,,,,,Iceland,ICELAND,2025-08-01,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,ISL,high
Economy,India,Russian oil imports,8/6/2025,8/27/2025,IEEPA,25%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,India,INDIA,2025-08-06,2025-08-27,2025-08-01,Russian oil imports,ENERGY,IND,high
Economy,India,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,25%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,India,INDIA,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,IND,high
Economy,India,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,25%,EO 14329,,,,,,,India,INDIA,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,IND,high
Economy,Indonesia,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,19%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,EO 14326,Indonesia,INDONESIA,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,IDN,high
Economy,Iraq,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,35%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,EO 14326,Iraq,IRAQ,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,IRQ,high
Economy,Israel,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,EO 14326,Israel,ISRAEL,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,ISR,high
Economy,Japan,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,EO 14326,Japan,JAPAN,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,JPN,high
Economy,Jordan,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,EO 14326,Jordan,JORDAN,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,JOR,high
Economy,Kazakhstan,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,25%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,EO 14326,Kazakhstan,KAZAKHSTAN,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,KAZ,high
Economy,Laos,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,40%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,EO 14326,Laos,LAOS,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,LAO,high
Economy,Lesotho,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,Lesotho,LESOTHO,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,LSO,high
Economy,Libya,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,30%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,Libya,LIBYA,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,LBY,high
Economy,Liechtenstein,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,EO 14326,,Liechtenstein,LIECHTENSTEIN,2025-04-02,2025-08-07,2025-08-01,Non-reciprocal trade: Individual rate,GENERAL,LIE,high
